NO.Compounds,No.conformation,affinity(kcal/mol),rmsd l.b.,rmsd u.b.,rmsd_from_initial
1,1,-7.9,0,0,0.947195054
1,2,-7.8,1.664,2.096,1.141820752
1,3,-7.7,3.929,5.909,0.609151645
1,4,-7.5,2.204,3.02,1.167021844
1,5,-7.4,2.103,4.883,1.261299437
1,6,-7,3.545,5.843,1.495934987
1,7,-6.7,4.731,6.315,0.722951032
1,8,-6.7,3.911,6.409,1.396839065
1,9,-6.6,4.224,6.648,0.911207504
2,1,-8,0,0,1.023358041
2,2,-7.7,1.61,2.042,1.007705586
2,3,-7.3,3.61,5.754,1.223313439
2,4,-7.3,4.099,5.835,0.849573036
2,5,-7.2,2.07,4.762,1.339360946
2,6,-7.1,4.971,7.07,1.4775354
2,7,-6.8,4.544,6.897,1.155711679
2,8,-6.8,3.324,5.611,1.243952828
2,9,-6.7,3.8,4.769,0.843109962
3,1,-7.7,0,0,1.299035995
3,2,-7.4,3.037,4.225,1.160787369
3,3,-7.3,1.871,4.577,0.539413135
3,4,-7.3,3.629,5.856,0.969672341
3,5,-7.1,3.65,6.005,1.420372277
3,6,-7,4.357,6.815,0.93289928
3,7,-6.9,3.398,5.02,1.355662793
3,8,-6.9,2.312,4.719,1.348701718
3,9,-6.8,3.513,6.094,0.941150234
4,1,-6.9,0,0,1.193601304
4,2,-6.9,2.087,4.926,1.310225713
4,3,-6.6,2.085,5.148,1.367922008
4,4,-6.6,2.124,4.992,1.429775871
4,5,-6.6,1.774,2.857,1.247255174
4,6,-6.4,2.572,5.411,1.468381363
4,7,-6.4,2.599,5.456,0.956523306
4,8,-6.4,2.764,5.49,1.514186204
4,9,-6.3,2.52,3.482,0.953306707
5,1,-7.1,0,0,0.760617344
5,2,-6.9,3.664,6.628,1.661320419
5,3,-6.9,3.585,6.45,1.055169933
5,4,-6.9,1.352,1.775,1.043918657
5,5,-6.7,1.407,1.939,1.123236872
5,6,-6.7,2.299,4.583,1.146160504
5,7,-6.6,2.213,3.992,1.025655036
