NO.Compounds,No.conformation,affinity(kcal/mol),rmsd l.b.,rmsd u.b.,rmsd_from_initial
1,1,-8.5,0,0,1.156925444
1,2,-8.3,3.947,6.044,1.014973638
1,3,-7.9,2.021,4.817,1.408968903
1,4,-7.8,1.847,4.843,1.325975684
1,5,-7.4,1.666,2.301,1.171548464
1,6,-7.3,4.086,6.927,1.138209508
1,7,-7,3.483,6.14,1.065347699
1,8,-6.8,2.409,5.394,1.467618146
1,9,-6.8,4.144,6.921,1.441571466
2,1,-8.1,0,0,1.115662355
2,2,-7.9,3.893,5.918,1.119879282
2,3,-7.6,1.905,4.745,1.203292486
2,4,-7.5,1.994,4.706,1.29798138
2,5,-7.3,1.573,2.088,1.121574519
2,6,-7.3,4.175,6.252,1.393548723
2,7,-7.2,2.086,4.931,1.200213706
2,8,-7,3.396,5.993,1.205249007
2,9,-6.8,3.469,6.074,1.137186406
3,1,-8,0,0,1.411502649
3,2,-7.9,3.173,4.347,1.29538124
3,3,-7.6,3.005,5.373,0.630804009
3,4,-7.5,4.062,7.001,1.060553221
3,5,-7.4,3.717,5.596,1.206058976
3,6,-7.2,4.035,6.987,1.41233325
3,7,-7,2.033,4.789,1.150440622
3,8,-7,4.105,6.6,1.057337684
3,9,-7,3.822,5.951,1.136763866
4,1,-7.3,0,0,1.207081134
4,2,-6.8,2.077,4.925,0.983968683
4,3,-6.7,1.922,3.226,1.270052551
4,4,-6.6,2.455,5.404,1.432102205
4,5,-6.6,2.258,3.781,1.316138985
4,6,-6.5,2.169,4.941,1.562393546
4,7,-6.4,2.455,5.629,1.479152762
4,8,-6.4,2.633,6.019,1.524417434
4,9,-6.4,2.281,3.888,1.185191968
5,1,-7.1,0,0,1.036545803
5,2,-7.1,1.197,1.685,1.451251109
5,3,-7,3.451,5.989,1.191367193
5,4,-6.8,3.601,6.435,0.938999175
5,5,-6.8,3.305,6.54,0.602632966
5,6,-6.7,3.231,4.996,0.713880402
5,7,-6.5,3.234,6.016,1.330997484
5,8,-6.4,3.294,6.139,1.264218697
5,9,-6.4,4.321,6.466,1.379605536
6,1,-7.7,0,0,1.210963659
6,2,-7.5,2.875,5.746,0.867859682
6,3,-7.3,2.813,6.855,1.44194743
6,4,-7.2,3.171,6.881,1.014615699
6,5,-7.1,1.835,4.907,1.357272138
6,6,-6.8,1.961,2.698,1.12585256
6,7,-6.8,2.14,4.936,1.462908377
6,8,-6.5,3.452,6.799,0.809364138
6,9,-6.5,3.13,6.24,0.944228054
7,1,-8,0,0,1.25306908
7,2,-7.5,2.494,5.322,2.1481564
7,3,-7.5,2.077,2.58,2.011074647
7,4,-7.5,3.523,5.577,1.266475725
7,5,-7.4,2.866,5.791,1.356506636
7,6,-7.3,4.108,6.849,1.461910692
7,7,-7.2,4.067,6.198,2.075507288
7,8,-7.2,3.194,4.911,1.316503057
7,9,-7.1,2.445,3.486,1.880077195
8,1,-7,0,0,1.351922447
8,2,-7,2.238,5.288,1.177653319
8,3,-6.9,2.705,5.749,1.253471559
8,4,-6.8,2.607,5.713,1.291843666
8,5,-6.8,2.854,5.493,1.260772906
8,6,-6.6,2.416,3.041,1.544501698
8,7,-6.5,2.996,6.162,1.466218519
8,8,-6.5,2.462,5.35,1.329811778
8,9,-6.1,2.655,5.718,1.21152749
9,1,-8.6,0,0,1.19075087
9,2,-8.3,4.018,6.096,1.01498857
9,3,-7.9,2.01,4.817,1.284457645
9,4,-7.8,1.828,4.855,1.326640272
9,5,-7.4,4.135,7.012,1.414875638
9,6,-7.3,1.714,2.43,1.175306266
9,7,-7.2,3.823,6.293,1.052267531
9,8,-7,4.115,5.587,0.70427135
9,9,-7,3.655,6.247,1.091474728
10,1,-8.4,0,0,1.177485182
10,2,-8.3,3.911,6.021,0.941267549
10,3,-7.8,2.169,4.614,1.346215941
10,4,-7.7,2.027,4.713,1.282027843
10,5,-7.6,1.888,4.977,1.332703839
10,6,-7.1,3.551,6.189,1.104278277
10,7,-7,4.045,5.544,0.715435262
10,8,-7,1.447,2.077,1.276958718
10,9,-6.5,1.489,2.046,1.200260132
11,1,-8.2,0,0,1.114346036
11,2,-7.9,3.907,5.92,1.123810583
11,3,-7.5,1.914,4.892,1.207503854
11,4,-7.3,1.969,4.677,1.229359271
11,5,-7,3.598,6.189,1.212221877
11,6,-7,4.095,5.363,0.951447825
11,7,-6.9,2.034,2.647,1.27960474
11,8,-6.7,1.42,1.935,1.143749911
11,9,-6.5,2.329,3.374,0.938108731
12,1,-7.8,0,0,1.375506465
12,2,-7.7,1.63,2.11,1.386893432
12,3,-7.7,2.447,3.355,1.494503232
12,4,-7.4,2.629,5.401,0.582941086
12,5,-7.4,3.755,6.539,0.915484635
12,6,-7.3,2.051,4.926,1.375839063
12,7,-7.1,3.942,6.14,1.330313253
12,8,-7.1,4.029,6.085,1.275840756
12,9,-7.1,4.277,7.247,1.267516844
13,1,-7.3,0,0,1.213418867
13,2,-6.9,2.115,5.001,1.006188432
13,3,-6.8,1.961,3.403,1.279448363
13,4,-6.7,2.406,5.4,1.335565363
13,5,-6.7,2.222,3.646,1.343916792
13,6,-6.5,2.523,5.96,1.463843797
13,7,-6.4,1.945,2.68,1.403894032
13,8,-6.3,2.434,5.231,1.111434627
13,9,-6.3,2.957,5.514,1.435419583
14,1,-7.1,0,0,1.041610325
14,2,-7,3.441,5.977,1.192346325
14,3,-6.9,1.32,1.976,1.486498117
14,4,-6.9,3.049,5.584,1.151128059
14,5,-6.8,3.592,6.426,0.94099498
14,6,-6.5,3.377,6.602,0.949694164
14,7,-6.3,3.239,6.075,1.339992105
14,8,-6.3,3.252,6.141,1.418765646
14,9,-6.3,3.966,6.884,0.93498099
15,1,-7.7,0,0,1.218580242
15,2,-7.5,2.876,5.748,0.857575536
15,3,-7.3,1.69,2.257,1.207580542
15,4,-7.3,2.779,6.826,1.441328073
15,5,-7.3,1.99,4.775,1.295990679
15,6,-7,1.344,1.651,1.124244551
15,7,-6.7,2.315,5.212,1.44761197
15,8,-6.7,3.447,6.822,0.847467087
15,9,-6.5,2.81,4.236,1.120361654
16,1,-8,0,0,1.263689125
16,2,-7.6,2.104,2.543,2.007991264
16,3,-7.5,3.799,6.052,1.729127609
16,4,-7.2,2.881,5.798,1.341552269
16,5,-7.1,1.825,4.876,1.75273316
16,6,-7,2.445,3.382,1.821219579
16,7,-6.8,3.457,5.693,1.435056266
16,8,-6.8,2.001,5.093,1.319257988
16,9,-6.7,3.886,6.369,1.802109084
17,1,-7.1,0,0,1.177875679
17,2,-6.8,2.248,4.896,1.317729856
17,3,-6.8,2.023,3.187,1.256607896
17,4,-6.6,2.711,5.45,1.570007031
17,5,-6.5,2.322,4.986,1.531241429
17,6,-6.4,2.607,5.347,1.432257339
17,7,-6.4,2.558,5.913,1.453706712
17,8,-6.3,2.547,3.971,1.220329616
17,9,-6.3,2.475,5.609,1.530646297
18,1,-7.3,0,0,1.2154899
18,2,-7,2.071,4.922,1.291050856
18,3,-6.6,2.418,5.356,1.331965436
18,4,-6.6,2.102,5.211,1.298922448
18,5,-6.4,2.776,6.22,1.485474257
18,6,-6.4,2.192,5.312,0.923421228
18,7,-6.4,2.634,5.367,1.500096909
18,8,-6.3,2.106,5.087,1.364804226
18,9,-6.3,2.385,5.647,1.527932209
19,1,-7.1,0,0,1.03818877
19,2,-7,3.444,5.962,1.190046422
19,3,-6.8,3.612,6.432,0.925806186
19,4,-6.8,3.025,5.166,1.042854382
19,5,-6.8,3.287,6.518,0.603667873
19,6,-6.4,2.823,3.57,1.530443426
19,7,-6.4,2.506,4.452,1.054497136
19,8,-6.3,3.194,5.296,0.893590629
19,9,-6.3,3.077,5.06,1.226097713
20,1,-7.9,0,0,1.350132904
20,2,-7.9,3.534,5.524,1.256555826
20,3,-7.5,4.343,6.334,2.013417446
20,4,-7.5,2.171,5.126,1.270797859
20,5,-7.3,3.471,5.734,1.536278247
20,6,-7.3,1.945,4.633,1.713334792
20,7,-7.2,3.483,6.321,2.018602849
20,8,-7.1,3.895,6.259,1.396550687
20,9,-7,1.753,2.382,2.080368205
21,1,-7,0,0,1.179384458
21,2,-7,2.212,5.203,1.355291741
21,3,-6.8,2.239,4.877,1.318139027
21,4,-6.6,2.697,5.481,1.569755851
21,5,-6.4,2.596,5.97,1.430152341
21,6,-6.3,2.482,5.652,1.52152211
21,7,-6.2,2.568,5.404,1.413572729
21,8,-6.2,2.717,6.099,1.531599933
21,9,-6.1,2.698,6.056,1.233554505
22,1,-8.5,0,0,1.160941352
22,2,-8.2,3.945,6.029,0.950506133
22,3,-7.9,2.01,4.781,1.290033928
22,4,-7.7,1.853,4.856,1.345248879
22,5,-7.5,2.242,5.084,1.280462902
22,6,-7.1,3.416,6.085,1.087232626
22,7,-7,4.017,5.39,0.72180805
22,8,-6.6,2.089,5.178,1.530533836
22,9,-6.6,4.233,7.181,1.267492909
23,1,-7.3,0,0,1.205053272
