NO.Compounds,No.conformation,affinity(kcal/mol),rmsd l.b.,rmsd u.b.,rmsd_from_initial
1,1,-7.8,0,0,0.928477787
1,2,-7.6,3.836,5.833,0.585503249
1,3,-7.6,1.045,1.263,0.936340829
1,4,-7.3,2.131,4.921,1.262676696
1,5,-7.2,4.423,6.125,0.81703069
1,6,-7.1,3.601,5.836,1.166938338
1,7,-6.8,4.477,6.806,1.025688835
1,8,-6.6,4.521,7.156,1.254305959
1,9,-6.6,4.839,6.983,1.251674974
2,1,-7.9,0,0,1.009714164
2,2,-7.5,1.459,1.69,1.097973857
2,3,-7.4,4.135,5.835,0.805438986
2,4,-7.3,3.655,5.826,1.222351944
2,5,-7.3,1.92,2.476,1.042299413
2,6,-7,2.268,4.822,1.186784133
2,7,-6.7,3.949,4.866,0.871163711
2,8,-6.7,4.418,6.87,1.382401032
2,9,-6.7,2.284,3.878,1.271470703
3,1,-7.8,0,0,1.291841913
3,2,-7.7,1.954,4.632,0.807913716
3,3,-7.3,3.755,6.048,1.185815188
3,4,-7.2,4.24,6.688,0.755427964
3,5,-7.1,4.227,6.712,1.256257404
3,6,-7.1,3.001,4.168,1.402830658
3,7,-7,2.474,4.708,1.181627012
3,8,-6.9,3.728,6.005,1.253183252
3,9,-6.9,3.89,6.621,0.813983116
4,1,-7.2,0,0,1.250336683
4,2,-7.1,1.936,3.476,1.189868503
4,3,-7,2.611,6.309,1.324063347
4,4,-6.7,2.714,5.198,1.55591151
4,5,-6.5,2.62,5.86,1.199969542
4,6,-6.5,2.743,6.242,1.295743901
4,7,-6.4,2.446,4.875,1.475406963
4,8,-6.4,3.337,4.732,1.521410202
4,9,-6.3,2.675,5.675,0.944394861
5,1,-7.3,0,0,1.192164697
5,2,-7,3.685,6.56,1.672340765
5,3,-6.9,2.037,4.041,0.693206788
5,4,-6.9,1.553,2.327,1.105485831
5,5,-6.9,2.289,4.572,1.139820261
5,6,-6.8,3.644,6.342,1.107465844
5,7,-6.7,2.705,3.872,1.220640196
5,8,-6.5,3.581,6.443,1.289475174
5,9,-6.5,2.906,4.291,0.497971849
6,1,-7.6,0,0,0.898429403
6,2,-7.5,2.179,5.167,1.223347079
6,3,-7.4,1.741,2.047,1.201077983
6,4,-7.4,3.252,5.577,0.739352656
6,5,-7.1,3.664,5.544,0.44145984
6,6,-6.9,3.013,6.269,0.881271696
6,7,-6.8,3.811,4.888,1.131620274
6,8,-6.7,2.812,7.221,1.418927393
6,9,-6.5,3.484,6.461,0.502454013
7,1,-7.9,0,0,1.19009738
7,2,-7.8,3.502,5.518,0.942603181
7,3,-7.7,1.812,2.345,2.085888566
7,4,-7.6,4.481,7.136,1.109706949
7,5,-7.5,2.143,5.06,1.316044172
7,6,-7.4,3.466,5.901,1.455191168
7,7,-7.3,3.552,5.908,1.561834727
7,8,-7.2,3.456,6.544,2.313847258
7,9,-7.2,3.989,5.83,2.037407807
8,1,-7.2,0,0,1.246011806
8,2,-6.9,2.154,3.442,1.182499705
8,3,-6.7,2.77,6.319,1.31226051
8,4,-6.6,2.605,5.273,1.342907334
8,5,-6.6,3.298,4.589,1.485296076
8,6,-6.4,1.948,2.687,1.309270953
8,7,-6.3,2.805,6.097,1.085884307
8,8,-6.3,2.596,5.915,1.071066767
8,9,-6.3,2.345,4.68,1.472962052
9,1,-7.8,0,0,0.929079291
9,2,-7.6,3.804,5.817,0.588810979
9,3,-7.6,1.652,2.211,1.152442461
9,4,-7.5,2.015,2.564,1.095860222
9,5,-7.2,2.103,4.909,1.252794837
9,6,-7.1,3.581,5.881,1.159297715
9,7,-7.1,3.003,5.52,1.309978249
9,8,-6.8,3.273,4.579,1.191678788
9,9,-6.7,3.625,6.007,1.498742238
10,1,-7.9,0,0,0.963672343
10,2,-7.6,3.858,5.87,0.596824275
10,3,-7.6,1.711,2.202,1.158322962
10,4,-7.3,2.124,4.961,1.243737969
10,5,-7.2,3.67,5.898,1.168507409
10,6,-7.2,2.362,3.459,1.241496626
10,7,-7,4.964,7.145,1.285059668
10,8,-6.9,3.84,6.38,1.398558056
10,9,-6.7,2.917,4.019,1.216101296
11,1,-7.9,0,0,1.008318263
11,2,-7.5,1.634,2.074,1.117676114
11,3,-7.4,4.089,5.791,0.820302642
11,4,-7.4,3.66,5.793,1.224169606
11,5,-7.3,2.441,4.913,1.1920422
11,6,-7.1,4.927,7.057,1.36999602
11,7,-6.6,5.163,7.349,1.340032882
11,8,-6.5,4.254,6.49,1.386660158
11,9,-6.5,2.935,5.157,1.253367608
12,1,-7.9,0,0,1.489575342
12,2,-7.5,1.923,4.626,0.789039596
12,3,-7.3,3.665,5.899,1.135045611
12,4,-7.1,2.113,4.733,1.304691068
12,5,-7.1,2.96,3.952,1.474285866
12,6,-7,3.324,5.742,0.874400427
12,7,-7,3.134,4.984,1.348088744
12,8,-7,3.853,6.07,1.328515169
12,9,-6.9,3.36,5.026,1.373505956
13,1,-7.3,0,0,1.262614644
13,2,-7,1.965,3.5,1.192606716
13,3,-7,2.625,6.303,1.308496208
13,4,-6.6,2.72,5.231,1.550106914
13,5,-6.6,2.399,5.266,1.374437702
13,6,-6.4,2.77,6.03,1.190868808
13,7,-6.4,2.471,5.803,1.458401565
13,8,-6.4,3.468,5.972,1.235926493
13,9,-6.3,2.654,5.719,0.960904967
14,1,-7.4,0,0,1.191317053
14,2,-7,3.688,6.546,1.689463495
14,3,-6.9,1.589,2.392,1.108398768
14,4,-6.9,2.296,4.599,1.17434576
14,5,-6.8,3.365,6.358,1.321333656
14,6,-6.8,2.788,5.098,0.935474262
14,7,-6.8,2.69,3.801,1.218439302
14,8,-6.7,3.692,6.367,1.079529945
14,9,-6.6,2.618,4.018,0.663277366
15,1,-7.5,0,0,0.935313854
15,2,-7.4,2.156,5.143,1.219339756
15,3,-7.3,1.733,2.117,1.19997517
15,4,-7.3,2.884,6.174,0.969004537
15,5,-7.3,3.223,5.599,0.747065022
15,6,-6.9,2.792,7.199,1.418269613
15,7,-6.8,3.022,5.604,1.110367455
15,8,-6.8,3,6.529,0.921490725
15,9,-6.7,4.327,6.847,1.219888549
16,1,-7.9,0,0,1.181334799
16,2,-7.8,3.483,5.461,0.938706646
16,3,-7.5,2.12,5.098,1.219614483
16,4,-7.3,3.423,5.844,1.445369118
16,5,-7.3,3.574,5.903,1.4777558
16,6,-7.3,2.446,3.334,1.942681105
16,7,-7.2,2.17,4.857,1.880378566
16,8,-7.1,3.293,3.95,2.009174713
16,9,-7,2.294,3.059,1.410023156
17,1,-7.1,0,0,1.24598374
17,2,-6.8,1.88,2.876,1.180810256
17,3,-6.7,2.77,6.269,1.311937757
17,4,-6.7,2.576,5.273,1.388270086
17,5,-6.4,2.868,6.067,1.243557344
17,6,-6.4,3.31,4.533,1.473290829
17,7,-6.2,2.351,4.693,1.463492994
17,8,-6.2,2.417,4.696,0.952973939
17,9,-6.1,1.767,2.424,1.074341095
18,1,-7.3,0,0,1.256412665
18,2,-7,2.619,6.357,1.309856196
18,3,-6.9,1.979,3.543,1.202510773
18,4,-6.6,2.401,5.241,1.359322718
18,5,-6.4,2.604,5.667,1.10831994
18,6,-6.2,2.633,4.841,1.261545324
18,7,-6.2,2.493,5.916,1.394376688
18,8,-6.2,2.584,4.781,0.898599872
18,9,-6.2,3.156,6.408,1.442870416
19,1,-7.2,0,0,1.1120326
19,2,-7,3.736,6.64,1.6799377
19,3,-7,2.019,4.019,0.699270884
19,4,-6.9,2.248,4.566,1.151435651
19,5,-6.9,1.617,2.325,1.113346072
19,6,-6.7,2.618,3.766,1.221830087
19,7,-6.7,2.801,5.25,1.204274782
19,8,-6.6,2.974,5.44,1.060524958
19,9,-6.6,3.655,6.199,1.234197745
20,1,-7.9,0,0,1.187107587
20,2,-7.8,3.481,5.443,0.93192172
20,3,-7.5,2.13,5.056,1.2167197
20,4,-7.3,3.578,5.906,1.472851
20,5,-7.2,1.741,4.8,1.848571035
20,6,-7.1,4.05,5.882,1.899357578
20,7,-7.1,3.297,3.918,2.001932667
20,8,-7,1.929,2.864,2.005317717
20,9,-7,3.288,6.034,1.881764792
21,1,-7.1,0,0,1.245658892
21,2,-6.9,2.21,3.412,1.194392593
21,3,-6.7,2.813,6.379,1.293022398
21,4,-6.6,2.635,5.275,1.339075481
21,5,-6.6,3.317,4.542,1.488286247
21,6,-6.4,2.528,4.845,1.465121785
21,7,-6.3,1.884,2.445,1.456830286
21,8,-6.3,3.513,5.981,1.226960887
21,9,-6.2,2.659,5.829,1.431083167
22,1,-7.9,0,0,0.946381162
22,2,-7.6,3.86,5.849,0.58719149
22,3,-7.6,1.703,2.25,1.159048719
22,4,-7.3,2.151,4.943,1.258379473
