NO.Compounds,No.conformation,affinity(kcal/mol),rmsd l.b.,rmsd u.b.,rmsd_from_initial
1,1,-8.3,0,0,0.971999955
1,2,-7.8,3.817,5.891,1.119258301
1,3,-7.2,4.053,6.096,1.382410101
1,4,-7.1,2.075,4.903,0.727691331
1,5,-7,1.63,2.191,0.946442609
1,6,-7,4.017,6.209,1.336271952
1,7,-6.9,2.135,5.246,0.994216087
1,8,-6.6,3.804,5.142,1.476142163
1,9,-6.5,3.796,5.849,0.552109194
2,1,-8.1,0,0,1.008843811
2,2,-7.6,3.854,5.861,1.013553047
2,3,-7.1,1.916,5.022,0.865615813
2,4,-7.1,3.269,5.996,1.012832049
2,5,-7.1,2.051,4.944,0.880725645
2,6,-6.6,4.313,6.683,0.621920315
2,7,-6.4,2.244,4.24,1.362016684
2,8,-6.3,3.968,6.974,1.022993938
2,9,-6.2,1.491,1.993,1.307982494
3,1,-7.9,0,0,1.495622703
3,2,-7.7,3.45,4.937,1.170756649
3,3,-7.3,3.75,5.741,1.174106179
3,4,-7.3,3.246,5.653,1.051087429
3,5,-7.3,4.017,7.037,0.776874135
3,6,-7.2,1.468,2.34,1.062259215
3,7,-7.2,4.031,7.047,1.152187087
3,8,-7,2.297,4.843,1.165047084
3,9,-7,2.991,4.229,1.055555001
4,1,-6.9,0,0,1.336235837
4,2,-6.6,2.014,4.739,1.183884985
4,3,-6.5,2.259,5.435,1.250870563
4,4,-6.4,2.022,5.163,1.172185761
4,5,-6.3,1.883,3.188,1.258629834
4,6,-6.3,2.268,4.41,1.380063375
4,7,-6.1,1.791,2.39,1.542874407
4,8,-6,2.395,4.144,1.40425618
4,9,-6,1.902,2.567,1.547420006
5,1,-6.9,0,0,1.034127863
5,2,-6.9,2.484,4.792,1.454907077
5,3,-6.8,1.338,1.984,1.085367358
5,4,-6.8,3.526,6.417,0.688578665
5,5,-6.6,3.32,6.462,1.303563885
5,6,-6.4,3.777,6.047,1.279619851
5,7,-6.4,3.361,6.667,1.060343265
5,8,-6.4,3.139,5.851,1.391661432
5,9,-6.3,3.87,6.968,1.489457542
6,1,-7.7,0,0,0.861565986
6,2,-7.3,2.792,5.456,1.077910847
6,3,-7.1,0.823,1.433,1.097173204
6,4,-6.8,2.71,5.773,0.99978458
6,5,-6.7,2.57,6.837,0.602429221
6,6,-6.6,1.78,2.567,0.885997128
6,7,-6.6,2.112,4.87,0.695859787
6,8,-6.3,3.135,7.066,0.767350204
6,9,-6.3,3.322,4.73,1.369748943
7,1,-7.6,0,0,1.655700247
7,2,-7.6,3.514,5.437,1.081980025
7,3,-7.5,2.013,2.453,2.227696489
7,4,-7.5,3.765,5.964,1.785957275
7,5,-7.4,1.649,2.244,1.98423886
7,6,-7.1,2.901,5.69,1.042824836
7,7,-7,4.275,7.09,1.137747453
7,8,-6.9,2.89,4.438,1.367019666
7,9,-6.9,1.78,2.262,1.500700309
8,1,-6.8,0,0,1.3326041
8,2,-6.5,2.204,4.726,1.172583376
8,3,-6.4,2.081,3.147,1.267343123
8,4,-6.3,2.772,5.545,1.068566494
8,5,-6.3,2.152,5.117,1.173352325
8,6,-6.3,2.207,5.296,1.310565604
8,7,-6.2,2.342,5.294,1.237206136
8,8,-6.1,2.19,4.968,1.37212468
8,9,-6.1,2.51,5.266,1.407089207
9,1,-8.3,0,0,0.967919525
9,2,-7.8,3.824,5.879,1.131438904
9,3,-7.1,2.076,4.942,0.752414508
9,4,-7.1,1.811,5.012,0.517011749
9,5,-7,3.332,6.02,1.345455449
9,6,-6.7,4.035,6.762,0.68044538
9,7,-6.6,3.795,5.111,1.385043638
9,8,-6.6,3.853,5.876,0.71959461
9,9,-6.6,4.047,6.341,0.682333858
10,1,-8.3,0,0,0.965638677
10,2,-7.8,3.812,5.895,1.122585216
10,3,-7.2,1.843,4.985,0.6745775
10,4,-7.1,3.212,5.977,1.083572616
10,5,-7,2.408,4.867,1.043048698
10,6,-6.9,3.959,6.901,0.769028234
10,7,-6.8,4.3,6.754,0.844394792
10,8,-6.6,3.791,5.113,1.371595975
10,9,-6.5,4.217,6.77,1.02978267
11,1,-8.1,0,0,1.015869983
11,2,-7.6,3.877,5.846,1.002936436
11,3,-7.2,3.143,5.861,0.921671764
11,4,-7,4.206,6.334,1.184586582
11,5,-6.7,4.991,7.353,0.889836362
11,6,-6.6,4.495,6.657,1.247352645
11,7,-6.5,2.126,3.006,1.108166157
11,8,-6.5,4.612,6.545,1.255028684
11,9,-6.4,1.608,2.248,1.272124723
12,1,-7.9,0,0,1.492276948
12,2,-7.8,3.591,4.817,1.182111682
12,3,-7.8,3.97,7.17,1.057929808
12,4,-7.5,3.015,4.498,0.793243069
12,5,-7.4,3.969,6.979,0.872094696
12,6,-7.4,3.874,5.932,1.151059538
12,7,-7.3,3.055,5.632,1.116413929
12,8,-7.3,2.275,2.967,1.216509389
12,9,-7.3,3.861,5.771,0.587304414
13,1,-6.9,0,0,1.325393301
13,2,-6.7,2.091,4.711,1.309248331
13,3,-6.5,2.179,5.334,1.226219203
13,4,-6.4,1.938,3.314,1.246472737
13,5,-6.2,2.82,6.174,1.033442149
13,6,-6.1,1.89,2.644,1.567822033
13,7,-6,2.748,5.814,1.078311892
