NO.Compounds,No.conformation,affinity(kcal/mol),rmsd l.b.,rmsd u.b.,rmsd_from_initial
1,1,-8.4,0,0,0.974800445
1,2,-7.8,3.829,5.939,1.476451036
1,3,-7.8,1.808,4.947,0.60385544
1,4,-7.4,1.88,4.874,0.647395427
1,5,-7.3,2.276,5.021,1.192319259
1,6,-6.9,3.831,5.962,1.371078111
1,7,-6.8,1.99,4.649,1.472706592
1,8,-6.6,3.612,6.29,1.110756672
1,9,-6.6,3.946,5.417,1.472320556
2,1,-8.3,0,0,1.088173409
2,2,-7.7,1.902,4.746,0.970477841
2,3,-7.3,3.892,5.891,1.28012939
2,4,-7.3,2.366,5.003,1.317551722
2,5,-7.2,4.231,6.634,1.041237859
2,6,-7.1,1.879,4.831,0.792945077
2,7,-7.1,3.904,5.991,1.171437046
2,8,-7,1.567,2.146,1.324891395
2,9,-7,3.456,5.72,0.938346802
3,1,-7.7,0,0,1.188929582
3,2,-7.5,2.113,4.686,1.458608622
3,3,-7.4,2.887,3.851,0.786901378
3,4,-7.1,4.343,6.738,1.338270326
3,5,-7.1,1.255,1.814,1.216832422
3,6,-7,3.63,5.964,0.891038309
3,7,-6.9,3.43,4.808,0.868224695
3,8,-6.7,3.879,5.687,0.977097258
3,9,-6.6,4.261,6.957,1.229094634
4,1,-7,0,0,1.220118812
4,2,-6.8,1.28,1.915,1.22095019
4,3,-6.7,2.199,5.433,1.536719913
4,4,-6.6,2.432,5.929,1.397898864
4,5,-6.6,2.449,3.407,1.295982999
4,6,-6.6,1.901,4.431,1.545008072
4,7,-6.5,1.975,5.133,0.929795741
4,8,-6.4,2.101,6.057,1.002071203
4,9,-6.3,2.243,5.168,1.19701156
5,1,-7.3,0,0,1.000951305
5,2,-7,3.116,5.497,0.900305819
5,3,-6.6,3.202,5.937,1.045769346
5,4,-6.5,3.116,5.931,1.188813167
5,5,-6.4,2.556,3.254,1.364301335
5,6,-6.3,2.797,5.271,1.233969057
5,7,-6.2,4.071,6.671,1.285884988
5,8,-6.2,3.103,5.429,1.487680069
5,9,-6.1,4.037,5.953,1.031203572
6,1,-7.8,0,0,0.98914764
6,2,-7.5,2.234,5.019,0.756151081
6,3,-7.4,1.841,4.979,0.591671995
6,4,-7.4,2.773,5.624,1.398228777
6,5,-7.2,2.394,2.993,0.948764617
6,6,-7.1,1.427,2.058,1.028816332
6,7,-7,2.246,5.024,0.830057137
6,8,-6.9,3.395,5.664,0.685661864
6,9,-6.7,2.547,6.827,0.943821155
7,1,-8.1,0,0,1.093927935
7,2,-8,1.763,2.182,2.007834605
7,3,-7.8,1.76,4.846,1.884606782
7,4,-7.5,2.154,5.061,1.129014459
7,5,-7.4,3.478,5.43,1.493625349
7,6,-7.2,3.948,4.821,1.832196096
7,7,-7.1,3.293,5.526,1.328972225
7,8,-7,2.397,5.091,1.811147724
7,9,-6.7,4.205,5.159,1.96466516
8,1,-6.9,0,0,1.204970428
8,2,-6.7,2.543,5.882,1.485435332
8,3,-6.6,1.93,5.137,0.594676144
8,4,-6.5,2.609,5.927,1.392468108
8,5,-6.5,2.898,5.156,1.285250637
8,6,-6.5,2.32,6.018,1.013562362
8,7,-6.5,2.31,5.373,1.304023057
