NO.Compounds,No.conformation,affinity(kcal/mol),rmsd l.b.,rmsd u.b.,rmsd_from_initial
1,1,-8.1,0,0,0.963588378
1,2,-7.8,3.777,5.801,1.471884485
1,3,-7.5,1.858,4.877,0.884298724
1,4,-7.2,1.875,4.865,0.792372124
1,5,-7.2,1.714,2.174,0.975132632
1,6,-7,3.25,5.966,0.965549756
1,7,-7,2.986,5.581,1.044659362
1,8,-7,4.178,6.467,1.51883784
1,9,-6.7,5.02,7.506,1.176472315
2,1,-7.9,0,0,1.110538153
2,2,-7.8,3.813,5.795,1.400957359
2,3,-7.5,1.93,4.88,0.852114339
2,4,-7.3,1.976,4.823,1.059398537
2,5,-6.7,3.609,6.125,1.169372053
2,6,-6.7,4.014,5.632,1.32248148
2,7,-6.6,4.338,7.091,1.184766748
2,8,-6.6,2.408,5.445,0.940838548
2,9,-6.5,3.608,5.159,1.392302904
3,1,-7.7,0,0,1.11552644
3,2,-7.5,3.647,5.972,0.97579229
3,3,-7.4,3.319,4.632,1.657468359
3,4,-7.3,2.947,4.104,0.783723915
3,5,-7.2,2.077,4.586,1.346269161
3,6,-7.2,3.995,5.673,1.063042043
3,7,-7.1,4.018,6.104,1.168298809
3,8,-7.1,1.895,4.646,1.073331386
3,9,-6.9,4.375,6.784,1.123112119
4,1,-7.3,0,0,1.556654941
4,2,-7.2,2.111,4.719,1.219515172
4,3,-6.7,1.827,3.256,1.256571804
4,4,-6.6,2.051,4.526,1.206011115
4,5,-6.5,2.683,4.81,1.303090543
4,6,-6.5,2.421,5.379,1.420611676
4,7,-6.3,2.413,5.409,0.401233158
4,8,-6.3,2.844,5.453,1.231214553
4,9,-6.3,2.512,5.948,1.050193181
5,1,-7.6,0,0,1.057308712
5,2,-7.4,3.427,5.763,1.035974405
5,3,-7.2,3.293,5.754,1.078145431
5,4,-7.2,1.303,1.955,0.995937024
5,5,-7.1,3.756,6.092,1.066299661
5,6,-6.9,3.488,6.32,1.247197753
5,7,-6.8,2.029,4.389,1.210929563
5,8,-6.8,3.838,6.01,1.013323728
5,9,-6.8,3.235,5.56,1.056468369
6,1,-7.5,0,0,0.966640581
6,2,-7.3,2.809,5.395,1.38695619
6,3,-7.2,2.205,5.107,0.674314991
6,4,-7.2,1.876,4.926,0.771281141
6,5,-6.9,3.25,6.221,1.55677298
6,6,-6.9,2.873,7.085,1.105529949
6,7,-6.6,2.868,5.846,0.977852722
6,8,-6.4,2.235,5.483,0.633325378
6,9,-6.3,2.914,6.579,0.936019071
7,1,-8.2,0,0,1.074692046
7,2,-8,1.448,2.022,1.920489861
7,3,-7.9,3.379,5.165,1.646389932
7,4,-7.6,2.056,5.013,0.998649186
7,5,-7.4,1.762,4.842,1.80198792
7,6,-7.3,3.842,4.671,2.134427818
7,7,-7.3,3.799,6.194,1.499041012
7,8,-7.2,3.073,5.715,1.228511645
7,9,-6.9,3.279,5.82,1.935069463
8,1,-7.2,0,0,1.556706654
8,2,-7,2.241,4.76,1.209259088
8,3,-6.7,2.368,5.408,1.302716039
8,4,-6.5,2.205,5.073,1.269753865
8,5,-6.4,2.425,5.694,0.58732848
8,6,-6.4,2.8,5.52,1.297256681
8,7,-6.3,1.686,2.273,1.342976352
8,8,-6.3,2.246,2.674,1.519112982
8,9,-6.2,2.423,3.849,1.322303784
9,1,-8.1,0,0,0.95692655
9,2,-7.9,3.775,5.794,1.463221312
9,3,-7.5,1.857,4.811,0.942656199
9,4,-7.3,4.273,6.496,1.622700002
9,5,-7.1,1.948,4.897,0.917247623
9,6,-6.8,2.458,5.338,1.061360601
9,7,-6.5,4.963,7.451,1.152783123
9,8,-6.4,1.987,2.443,0.905048165
9,9,-6.3,4.164,6.872,1.194739909
10,1,-8,0,0,0.955942862
10,2,-7.9,3.766,5.805,1.461506928
10,3,-7.5,1.843,4.841,0.922523007
10,4,-7.3,1.174,1.61,0.906028153
10,5,-7.3,1.978,4.859,0.922144529
