NO.Compounds,No.conformation,affinity(kcal/mol),rmsd l.b.,rmsd u.b.,rmsd_from_initial
1,1,-8.8,0,0,1.094568861
1,2,-7.9,1.869,5.066,0.547539892
1,3,-7.6,1.883,4.789,0.900969653
1,4,-7.6,3.836,5.919,1.487151926
1,5,-7.4,4.399,6.654,1.514997972
1,6,-7.1,3.705,6.296,1.138145878
1,7,-7,3.648,5.747,0.769392115
1,8,-6.8,4.254,7.025,1.224006274
1,9,-6.8,3.912,6.336,1.322310352
2,1,-8.6,0,0,1.088027762
2,2,-7.6,3.95,6,1.417007677
2,3,-7.4,1.988,4.784,0.996608058
2,4,-7.3,4.485,6.721,1.536725898
2,5,-7.2,1.951,4.838,1.112958342
2,6,-7,3.939,5.283,1.361992955
2,7,-6.8,3.92,6.39,1.132485592
2,8,-6.6,3.356,5.47,1.152955589
2,9,-6.6,4.164,6.583,1.051503663
3,1,-7.9,0,0,1.085698809
3,2,-7.8,2.316,4.961,1.36871922
3,3,-7.4,3.422,5.448,1.347081257
3,4,-7.4,3.671,6.613,1.021708841
3,5,-7.1,3.928,6.935,1.102862051
3,6,-6.8,4.295,5.987,1.352429229
3,7,-6.7,4.357,7.033,1.421050167
3,8,-6.7,2.998,5.268,1.101170207
3,9,-6.6,3.249,4.507,1.175627189
4,1,-7.3,0,0,1.216361269
4,2,-7,1.891,5.289,0.608763234
4,3,-6.7,1.796,5.273,1.320347466
4,4,-6.6,2.125,4.937,1.452780003
4,5,-6.6,2.308,5.966,1.397347973
4,6,-6.6,2.724,5.352,1.478624636
4,7,-6.6,2.08,5.315,1.317088186
4,8,-6.4,2.133,6.068,0.996957175
4,9,-6.4,2.476,6.2,1.308987189
5,1,-7.4,0,0,1.01731437
5,2,-7,3.025,5.434,0.889094863
5,3,-7,2.36,4.943,1.45019321
5,4,-6.9,3.123,5.553,1.061901231
5,5,-6.8,2.723,3.46,1.226078718
5,6,-6.8,3.122,5.73,1.427988353
5,7,-6.7,3.107,6.371,1.523452886
5,8,-6.6,2.963,4.628,0.904200314
5,9,-6.5,2.562,5.127,1.235690811
6,1,-8.1,0,0,0.976751067
6,2,-7.5,1.863,4.97,0.578469405
6,3,-7.4,1.836,4.923,0.574957435
6,4,-7.3,2.049,2.601,1.150930636
6,5,-7.2,2.248,4.968,0.826346657
6,6,-6.9,2.944,6.173,0.961981723
6,7,-6.8,2.914,6.124,1.384316968
6,8,-6.8,3.384,7.501,1.378515016
6,9,-6.7,2.913,6.697,1.22273539
7,1,-8.4,0,0,1.108214721
7,2,-8.3,1.599,2.035,2.003642609
7,3,-8,1.783,4.902,1.89090542
7,4,-7.8,2.022,5.033,1.003787671
7,5,-7.6,1.645,2.117,0.734795771
7,6,-7.5,3.246,5.057,1.65545195
7,7,-7.4,3.838,6.164,1.448291352
7,8,-7.2,2.935,5.803,1.238175479
7,9,-7,4.269,5.61,1.884008114
8,1,-7.1,0,0,1.198265403
8,2,-6.8,1.935,5.193,0.576572432
8,3,-6.7,2.412,5.374,1.528336002
8,4,-6.6,2.411,6.079,1.001684179
8,5,-6.6,2.082,5.255,1.308543394
8,6,-6.6,2.367,5.02,1.376271513
8,7,-6.5,2.223,4.747,1.003849499
8,8,-6.4,2.26,4.965,1.330744616
8,9,-6.4,2.309,5.237,1.184569794
9,1,-8.8,0,0,1.087608441
9,2,-7.9,1.86,5.061,0.561053124
9,3,-7.6,1.833,4.763,0.801780053
9,4,-7.3,4.417,6.584,1.597254306
9,5,-7.3,3.777,5.951,1.467634489
9,6,-7.1,3.735,6.327,1.135099376
9,7,-7,3.669,5.955,1.171067949
9,8,-6.7,4.095,6.608,0.912453015
9,9,-6.7,4.161,6.607,1.058463239
10,1,-8.7,0,0,0.946135582
10,2,-7.9,1.865,5.012,0.569718687
10,3,-7.6,3.825,5.912,1.483119208
10,4,-7.5,1.899,4.798,0.900537192
10,5,-7.5,4.241,6.55,1.333584377
