Molecule ChEMBL ID,Smiles,IC50(nM),Vina Affinity(kcal/mol),Vina RMSD l.b.,Vina RMSD u.b.,RMSD from initial,Document ChEMBL ID
CHEMBL377842,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(NC(=O)C(F)(F)F)ccc3N2)c(O)c2cccnc21,906,-8,0,0,1.826686725,CHEMBL1138030
,,,-7.1,2.828,3.928,1.61510648,
,,,-6.8,4.143,5.896,2.318484581,
,,,-6.7,4.09,6.074,1.109121372,
,,,-6.5,2.575,3.47,2.498000053,
,,,-6.4,3.186,9.018,1.737114852,
,,,-6.3,2.004,2.395,2.424918159,
,,,-6.2,3.518,9.52,1.515579801,
,,,-6.2,2.102,4.036,1.910087821,
CHEMBL208997,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(OCC(=O)N(C)C)ccc3N2)c(O)c2cccnc21,934,-6.8,0,0,1.692452519,
,,,-6.7,2.746,4.012,2.312517444,
,,,-6.6,2.782,5.012,1.283344048,
,,,-6.5,1.77,2.124,2.018044377,
,,,-6.5,3.048,9.209,2.339961229,
,,,-6.5,3.771,9.05,1.655568691,
,,,-6.4,3.008,4.641,2.293850233,
,,,-6.1,1.829,2.023,1.402202553,
,,,-6.1,3.668,9.118,2.074030987,
CHEMBL379432,Cc1cccc2c1N=C(c1c(O)c3cccnc3n(Cc3ccccc3)c1=O)NS2(=O)=O,96,-8,0,0,1.853109059,
,,,-7.1,2.764,3.479,1.614882961,
,,,-6.9,2.884,9.425,1.96247767,
,,,-6.8,4.187,5.844,2.312316937,
,,,-6.8,4.248,6.122,1.27417511,
,,,-6.7,3.003,4.65,2.018626293,
,,,-6.3,4.509,6.488,2.121491975,
,,,-6.2,4.326,9.075,1.199823666,
,,,-6.2,3.249,9.542,0.909343813,
CHEMBL211455,COc1ccc2c(c1)S(=O)(=O)NC(c1c(O)c3cccnc3n(Cc3ccccc3)c1=O)=N2,8310,-8,0,0,1.833358054,
,,,-6.9,3.465,9.144,1.52901836,
,,,-6.8,2.448,3.508,1.628658264,
,,,-6.8,4.192,5.865,2.3002739,
,,,-6.7,4.16,6.064,1.13087365,
,,,-6.7,3.005,9.493,2.005911402,
,,,-6.5,2.797,3.651,2.401284916,
,,,-6.2,4.35,9.102,1.204318652,
,,,-6.2,3.111,9.095,2.06354783,
CHEMBL377240,O=c1c(C2=NS(=O)(=O)c3cc(Br)ccc3N2)c(O)c2cccnc2n1Cc1ccccc1,16750,-7.3,0,0,2.158138062,
,,,-7.3,3.071,5.112,2.661173191,
,,,-7,1.03,3.313,2.592985792,
,,,-6.9,1.881,3.969,2.384254488,
,,,-6.9,3.093,5.24,2.267071043,
,,,-6.8,3.814,8.711,3.048903526,
,,,-6.7,1.694,2.124,1.923014565,
,,,-6.6,2.892,5.152,2.71562933,
,,,-6.4,2.714,4.106,1.954861915,
CHEMBL212417,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(OCC(=O)O)ccc3N2)c(O)c2cccnc21,57,-7.3,0,0,2.147073509,
,,,-7,1.894,4.013,2.293925971,
,,,-7,1.018,3.317,2.612517703,
,,,-6.9,3.063,5.221,2.327497537,
,,,-6.8,2.084,2.562,2.222641696,
,,,-6.7,2.997,5.059,3.065694961,
,,,-6.3,3.639,8.816,3.413485341,
,,,-6.2,2.723,3.867,1.773266855,
,,,-6.1,4.1,9.388,2.276565119,
CHEMBL214084,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(OCC(=O)OC(C)(C)C)ccc3N2)c(O)c2cccnc21,850,-7.1,0,0,2.689885131,
,,,-7.1,2.949,5.005,2.159057013,
,,,-6.9,2.169,2.856,2.285950356,
,,,-6.7,3.295,9.024,3.0732444,
,,,-6.6,2.48,3.164,2.223236137,
,,,-6.6,2.899,3.859,2.303596039,
,,,-6.2,1.607,2.031,2.63573797,
,,,-6,3.198,4.307,2.155955273,
,,,-6,2.743,3.825,2.097432696,
CHEMBL183046,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2cccnc21,810,-7.2,0,0,2.656583279,
,,,-7.2,3.01,5.053,2.200474441,
,,,-7,2.852,3.744,2.629691624,
,,,-6.8,3.249,9,3.065698454,
,,,-6.8,2.152,2.92,2.550661008,
,,,-6.3,1.636,2.177,2.606842154,
,,,-6,3.169,4.323,2.196609758,
,,,-6,2.927,3.988,2.599892659,
,,,-6,2.762,9.279,2.132168548,
CHEMBL379826,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(NCC(N)=O)ccc3N2)c(O)c2cccnc21,34,-7.3,0,0,2.030786115,
,,,-7.1,1.683,2.022,1.870501936,
,,,-6.9,2.92,5.123,1.540662733,
,,,-6.9,1.818,2.086,1.441217903,
,,,-6.8,3.027,4.531,2.24263767,
,,,-6.6,2.761,4.237,2.270204268,
,,,-6,2.96,9.402,2.30028206,
,,,-6,1.548,3.687,2.690121383,
,,,-5.9,1.696,2.076,1.632887398,
CHEMBL210158,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)c(O)c2cccnc21,2,-7,0,0,1.953031502,
,,,-7,2.912,5.127,1.511411327,
,,,-6.8,2.842,4.124,2.231362269,
,,,-6.7,3.596,9.401,1.818003947,
,,,-6.6,1.937,2.355,1.470295977,
,,,-6.4,2.955,4.403,2.456187466,
,,,-6.2,3.203,9.391,2.360544447,
,,,-6.2,3.431,9.281,2.643398082,
,,,-6.1,2.427,4.414,1.518476758,
CHEMBL239524,COc1cccc2c1NC(c1c(O)c3cccnc3n(Cc3ccccc3)c1=O)=NS2(=O)=O,18000,-7.6,0,0,1.568865683,
,,,-7.2,2.963,9.925,2.205294534,
,,,-6.9,2.848,9.759,2.873314134,
,,,-6.8,2.688,9.594,2.261685995,
,,,-6.6,3.176,5.266,1.623041558,
,,,-6.5,2.331,9.717,2.922346981,
,,,-6.5,1.393,2.057,1.947701378,
,,,-6.4,2.58,9.546,2.012585234,
,,,-6.3,2.731,9.608,2.821257789,
CHEMBL425607,CNC(=O)COc1ccc2c(c1)S(=O)(=O)NC(c1c(O)c3cccnc3n(CCC(C)C)c1=O)=N2,80,-7.8,0,0,1.615024882,
,,,-7.6,2.722,4.088,2.29935204,
,,,-7.5,3.242,4.88,2.357838544,
,,,-7.5,1.645,1.994,1.991954597,
,,,-7.4,1.872,3.728,2.305182246,
,,,-7,2.671,9.847,1.89386443,
,,,-6.9,3.023,9.994,2.062409363,
,,,-6.9,3.151,5.163,1.143583431,
,,,-6.9,2.64,9.615,2.254654162,
CHEMBL426866,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(OCCN)ccc3N2)c(O)c2cccnc21,637,-6.9,0,0,1.301169629,
,,,-6.8,1.596,1.804,1.933342287,
,,,-6.8,2.375,3.382,1.400430335,
,,,-6.8,2.064,3.985,1.173151212,
,,,-6.6,1.243,3.441,2.093772508,
,,,-6.2,2.68,4.76,2.312975984,
,,,-6.1,3.584,5.282,1.157067395,
,,,-6.1,3.395,6.009,2.080356263,
,,,-5.5,2.186,2.873,2.384075837,
CHEMBL379045,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(OCC#N)ccc3N2)c(O)c2cccnc21,141,-7.6,0,0,1.848092293,
,,,-7.2,4.457,6.545,2.082517633,
,,,-7.1,2.952,4.103,1.461624138,
,,,-7,1.509,3.53,1.319267133,
,,,-6.9,4.32,6.463,2.171863615,
,,,-6.8,2.911,9.529,1.220625819,
,,,-6.8,2.059,3.086,1.25684256,
,,,-6.7,2.998,9.678,2.341911507,
,,,-6.6,3.08,9.266,1.975697083,
