Molecule ChEMBL ID,Smiles,IC50(nM),Vina Affinity(kcal/mol),Vina RMSD l.b.,Vina RMSD u.b.,RMSD from initial,Document ChEMBL ID
,,,-7.9,0,0,2.139941214,
,,,-7.8,4.74,7.337,2.002530567,
,,,-7.6,3.001,8.971,2.307904371,
,,,-7.2,3.283,4.085,2.029179167,
,,,-7.2,2.868,4.817,1.997797002,
,,,-7.1,3.014,9.577,1.606786495,
,,,-7.1,3.234,4.586,2.432806709,
,,,-7.1,3.461,9.208,1.144403676,
,,,-6.4,4.172,8.299,0.857964125,
,,,-7.5,0,0,1.593123435,
,,,-7.3,4.08,8.923,2.309987664,
,,,-7.2,4.76,6.649,1.887245391,
,,,-6.9,3.867,8.456,1.754941149,
,,,-6.9,4.535,8.634,1.701035675,
,,,-6.8,4.145,8.188,1.145068767,
,,,-6.2,2.953,9.006,1.686824706,
,,,-6.2,3.218,5.14,1.394842735,
,,,-5.4,4.472,6.211,1.621022501,
,,,-7.6,0,0,1.405732148,
,,,-7.3,2.613,4.141,2.269559233,
,,,-7.2,1.568,3.272,2.335782343,
,,,-7.2,4.215,8.797,2.263355075,
,,,-7,4.107,5.634,1.371358404,
,,,-6.9,4.014,8.477,1.700607269,
,,,-6.6,2.306,3.975,1.932782568,
,,,-6.1,2.025,2.869,2.200529741,
,,,-6,3.622,5.194,1.409018972,
,,,-7.9,0,0,2.090563783,
,,,-7.4,2.125,4.441,1.812957792,
,,,-7.4,2.605,3.289,1.370686387,
,,,-7.3,3.284,4.01,2.101566945,
,,,-7.2,1.712,4.108,1.728021999,
,,,-7.2,2.729,4.968,1.476355823,
,,,-7.1,2.906,4.405,1.54176102,
,,,-6.2,2.763,3.408,1.354542259,
,,,-6.2,2.675,3.708,1.306401867,
,,,-7.4,0,0,2.551086626,
,,,-7.2,1.103,3.108,2.487333009,
,,,-6.7,4.283,8.97,2.344455055,
,,,-6.4,1.529,3.83,1.638471331,
,,,-6.1,1.789,2.538,3.039276477,
,,,-5.8,3.959,8.291,3.070858451,
,,,-5.5,3.866,8.484,3.539576305,
,,,-5.2,3.263,4.417,2.896354925,
,,,-5.2,4.544,9.16,2.46582039,
,,,-7.4,0,0,2.50516115,
,,,-6.8,4.03,9.056,3.100913614,
,,,-6.8,2.806,8.992,2.729521702,
,,,-6.8,1.399,2.363,3.197907394,
,,,-5.8,3.858,8.368,3.445124344,
,,,-5.8,2.614,3.719,3.390530688,
,,,-5.6,2.982,9.644,2.4615625,
,,,-5.5,2.915,4.046,2.983345759,
,,,-5.4,3.18,9.161,2.801675849,
,,,-7.2,0,0,2.486253524,
,,,-7.1,4.822,7.149,2.384648011,
,,,-7,2.99,9.669,2.567521526,
,,,-6.7,2.904,9.467,2.757425093,
,,,-6.7,3.989,8.536,3.093999094,
,,,-6.6,3.968,6.366,2.776272515,
,,,-6.4,4.257,8.696,2.317786247,
,,,-6.1,3.272,8.688,2.662181755,
,,,-5.7,2.702,3.239,2.251156135,
,,,-7.4,0,0,2.561259126,
,,,-7.2,1.063,3.119,2.501942551,
,,,-6.9,3.965,6.436,2.992198173,
,,,-6.8,2.805,8.977,2.684845984,
,,,-6.4,3.85,5.628,3.085612788,
,,,-6.3,4.251,8.806,2.332156458,
,,,-6,4.487,7.05,2.126114391,
,,,-5.9,1.924,3.701,2.545635576,
,,,-5.7,1.789,2.598,3.196009501,
,,,-7.5,0,0,2.588632693,
,,,-7.1,1.099,3.111,1.839999216,
,,,-6.8,4.214,8.69,1.890506665,
,,,-6.6,1.562,2.162,1.677236918,
,,,-6.5,3.687,9.137,1.873380591,
,,,-6.4,2.822,3.734,1.830203795,
,,,-5.9,4.245,5.526,1.974322708,
,,,-5.7,2.949,9.447,1.773889725,
,,,-5.7,3.11,5.085,2.208641397,
,,,-6.9,0,0,2.489154181,
,,,-6.8,2.853,4.185,2.475085515,
,,,-6.7,4.359,7.274,1.896766539,
,,,-6.7,3.038,8.838,1.661422248,
,,,-5.9,3.415,9.292,1.741095159,
,,,-5.8,3.913,8.582,2.194239491,
,,,-5.6,2.061,3.904,1.895527972,
,,,-5.6,4.993,7.326,1.818473412,
,,,-5.4,3.857,8.051,2.266723607,
,,,-6.8,0,0,2.021228762,
,,,-6.8,3.774,7.362,2.235081399,
,,,-6.7,3.132,5.565,1.756089111,
,,,-6,3.404,9.177,1.998858402,
,,,-5.7,3.123,9.3,2.041217051,
,,,-5.7,3.455,9.336,2.80023463,
,,,-5.2,3.796,8.845,2.755386472,
,,,-5.1,4.013,7.691,2.910551373,
,,,-4.7,4.24,7.465,1.828007561,
,,,-6.8,0,0,2.069354428,
,,,-6.8,3.249,5.655,1.679281164,
,,,-6.8,3.814,7.385,2.243590524,
,,,-6.1,3.336,8.129,2.025267368,
,,,-6,4.208,7.267,2.452786722,
,,,-5.7,3.132,9.282,2.015312408,
,,,-5.3,2.752,8.829,2.67254039,
,,,-5.2,1.68,2.073,2.236570383,
,,,-4.8,4.238,7.366,2.968592221,
,,,-7,0,0,2.106004608,
,,,-6.2,5.813,7.747,1.604430922,
,,,-5.9,1.633,2.125,1.21044018,
,,,-5.5,1.537,3.359,1.694808277,
,,,-5.5,3.588,5.706,2.114123247,
,,,-5.2,2.923,4.949,1.303368787,
,,,-5.1,3.918,5.724,1.542973562,
,,,-5,4.428,6.423,1.454732397,
