Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties
CHEMBL377842,,None,523.49,1,3.21,27,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(NC(=O)C(F)(F)F)ccc3N2)c(O)c2cccnc21,IC50,'=',906,nM,6.04,,,UO_0000065,11.54,0.23,2.83,4.23,0,CHEMBL871399,Inhibition of HCV 1a NS5B RNA polymerase,B,BAO_0000357,single protein format,Hepatitis C virus subtype 1a,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1138030,1,Scientific Literature,Bioorg Med Chem Lett,2006,None,
CHEMBL208997,,None,513.58,1,2.18,19,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(OCC(=O)N(C)C)ccc3N2)c(O)c2cccnc21,IC50,'=',934,nM,6.03,,,UO_0000065,11.74,0.23,3.85,4.21,0,CHEMBL871399,Inhibition of HCV 1a NS5B RNA polymerase,B,BAO_0000357,single protein format,Hepatitis C virus subtype 1a,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1138030,1,Scientific Literature,Bioorg Med Chem Lett,2006,None,
CHEMBL379432,,None,446.49,0,2.83,9,Cc1cccc2c1N=C(c1c(O)c3cccnc3n(Cc3ccccc3)c1=O)NS2(=O)=O,IC50,'=',96,nM,7.02,,,UO_0000065,15.72,0.3,4.19,6.17,0,CHEMBL871397,Inhibition of HCV 1b NS5B RNA polymerase,B,BAO_0000357,single protein format,Hepatitis C virus subtype 1b,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1138030,1,Scientific Literature,Bioorg Med Chem Lett,2006,None,
CHEMBL211874,,None,485.52,0,1.57,21,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(OCC(N)=O)ccc3N2)c(O)c2cccnc21,PPB,'>',99,%,,,,UO_0000187,,,,,0,CHEMBL854419,Protein binding in plasma,A,BAO_0000366,cell-free format,None,CHEMBL3559721,Plasma,None,None,,,,CHEMBL612558,ADMET,,ADMET,CHEMBL1138030,1,Scientific Literature,Bioorg Med Chem Lett,2006,None,
CHEMBL211455,,None,462.49,0,2.53,5,COc1ccc2c(c1)S(=O)(=O)NC(c1c(O)c3cccnc3n(Cc3ccccc3)c1=O)=N2,IC50,'=',8310,nM,5.08,,,UO_0000065,10.98,0.21,2.55,4.13,0,CHEMBL871399,Inhibition of HCV 1a NS5B RNA polymerase,B,BAO_0000357,single protein format,Hepatitis C virus subtype 1a,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1138030,1,Scientific Literature,Bioorg Med Chem Lett,2006,None,
CHEMBL377240,,None,511.36,1,3.47,10,O=c1c(C2=NS(=O)(=O)c3cc(Br)ccc3N2)c(O)c2cccnc2n1Cc1ccccc1,IC50,'=',16750,nM,4.78,,,UO_0000065,9.34,0.2,1.31,4.2,0,CHEMBL871399,Inhibition of HCV 1a NS5B RNA polymerase,B,BAO_0000357,single protein format,Hepatitis C virus subtype 1a,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1138030,1,Scientific Literature,Bioorg Med Chem Lett,2006,None,
CHEMBL212417,,None,486.51,0,2.17,18,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(OCC(=O)O)ccc3N2)c(O)c2cccnc21,IC50,'=',57,nM,7.24,,,UO_0000065,14.89,0.29,5.07,4.52,0,CHEMBL871397,Inhibition of HCV 1b NS5B RNA polymerase,B,BAO_0000357,single protein format,Hepatitis C virus subtype 1b,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1138030,1,Scientific Literature,Bioorg Med Chem Lett,2006,None,
CHEMBL214084,,None,542.61,1,3.43,17,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(OCC(=O)OC(C)(C)C)ccc3N2)c(O)c2cccnc21,IC50,'=',850,nM,6.07,,,UO_0000065,11.19,0.22,2.64,4.07,0,CHEMBL871397,Inhibition of HCV 1b NS5B RNA polymerase,B,BAO_0000357,single protein format,Hepatitis C virus subtype 1b,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1138030,1,Scientific Literature,Bioorg Med Chem Lett,2006,None,
CHEMBL183046,,None,412.47,0,2.71,2,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2cccnc21,IC50,'=',810,nM,6.09,,,UO_0000065,14.77,0.29,3.38,5.36,0,CHEMBL871399,Inhibition of HCV 1a NS5B RNA polymerase,B,BAO_0000357,single protein format,Hepatitis C virus subtype 1a,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1138030,1,Scientific Literature,Bioorg Med Chem Lett,2006,None,
CHEMBL211336,,None,533.63,1,2.86,29,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(NS(=O)(=O)C(C)C)ccc3N2)c(O)c2cccnc21,EC50,'=',110,nM,6.96,,,UO_0000065,,,,,0,CHEMBL871404,Inhibition of HCV 1b replication in presence of 5% fetal calf serum,F,BAO_0000218,organism-based format,Hepatitis C virus subtype 1b,None,None,None,None,,,,CHEMBL379,Hepatitis C virus,Hepatitis C virus,ORGANISM,CHEMBL1138030,1,Scientific Literature,Bioorg Med Chem Lett,2006,None,
