Molecule ChEMBL ID,Smiles,Standard Value,IC50(nM),¦¤G, predict affinity(kcal/mol),difference,annotation
CHEMBL210297,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3cc(N4CCCC4=O)ccc3-c3ccc(Cl)cc3)cc1F)n2C1CCCCC1,IC50 = 83368118.46,8.34E+07,-9.7,7.62E+01,-8.34E+07,
CHEMBL378026,CN(C)C(=O)c1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)c(F)c2)c1,IC50 = 83368118.46,8.34E+07,-2.9,7.45E+06,-7.60E+07,
CHEMBL368589,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3cc(C(=O)N4CCC(O)CC4)ccc3-c3ccc(Cl)cc3)cc1F)n2C1CCCCC1,IC50 = 71449632.61,7.14E+07,-10.5,1.97E+01,-7.14E+07,
CHEMBL2296935,CC(=O)NC(=O)c1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)c(F)c2)c1,IC50 = 71449632.61,7.14E+07,-9.2,1.77E+02,-7.14E+07,
CHEMBL379435,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3cc(C(=O)N4CCOCC4)ccc3-c3ccc(Cl)cc3)cc1F)n2C1CCCCC1,IC50 = 71449632.61,7.14E+07,-8.6,4.89E+02,-7.14E+07,
CHEMBL376688,CN(C)C(=O)c1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)c1,IC50 = 66680676.92,6.67E+07,-7.8,1.89E+03,-6.67E+07,
CHEMBL378470,NS(=O)(=O)c1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)c1,IC50 = 62517269.28,6.25E+07,-9.2,1.77E+02,-6.25E+07,
CHEMBL374567,CC(=O)N(C)c1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)c(F)c2)c1,IC50 = 62517269.28,6.25E+07,-8.8,3.49E+02,-6.25E+07,
CHEMBL211849,CC(=O)c1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)c1,IC50 = 55590425.73,5.56E+07,-10.3,2.76E+01,-5.56E+07,
CHEMBL411712,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3cc(C(=O)N4CCCCC4)ccc3-c3ccc(Cl)cc3)cc1F)n2C1CCCCC1,IC50 = 55590425.73,5.56E+07,-8.9,2.94E+02,-5.56E+07,
CHEMBL211639,CNC(=O)c1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)c1,IC50 = 55590425.73,5.56E+07,-7.7,2.24E+03,-5.56E+07,
CHEMBL377813,CCN(C(C)=O)c1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)c(F)c2)c1,IC50 = 52601726.64,5.26E+07,-7,7.30E+03,-5.26E+07,
CHEMBL213807,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3cc(C(=O)NCCO)ccc3-c3ccc(Cl)cc3)cc1F)n2C1CCCCC1,IC50 = 47643098.68,4.76E+07,-8.5,5.79E+02,-4.76E+07,
CHEMBL380002,CC(=O)N(c1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)c(F)c2)c1)C(C)C,IC50 = 47643098.68,4.76E+07,-7.9,1.60E+03,-4.76E+07,
CHEMBL214365,CCCNC(=O)c1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)c(F)c2)c1,IC50 = 47643098.68,4.76E+07,-6.9,8.64E+03,-4.76E+07,
CHEMBL379931,CC(=O)Nc1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)c1,IC50 = 45498806.02,4.55E+07,-8.4,6.85E+02,-4.55E+07,
CHEMBL208585,CN(C)C(=O)Nc1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)c(F)c2)c1,IC50 = 45498806.02,4.55E+07,-6.9,8.64E+03,-4.55E+07,
CHEMBL378469,CN(C)S(=O)(=O)c1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)c1,IC50 = 43451022.42,4.35E+07,-8.3,8.12E+02,-4.35E+07,
CHEMBL376462,O=C(O)c1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)c1,IC50 = 41686938.35,4.17E+07,-10,4.59E+01,-4.17E+07,
CHEMBL209853,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3cc(C(=O)NCc4ccccc4)ccc3-c3ccc(Cl)cc3)cc1)n2C1CCCCC1,IC50 = 34514373.93,3.45E+07,-7.8,1.89E+03,-3.45E+07,
CHEMBL24396,COc1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)c1,IC50 = 27039583.64,2.70E+07,-7.2,5.21E+03,-2.70E+07,
CHEMBL373786,N#Cc1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)c1,IC50 = 24378108.18,2.44E+07,-5.6,7.77E+04,-2.43E+07,
CHEMBL211507,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3cc(Cl)ccc3-c3ccc(Cl)cc3)cc1)n2C1CCCCC1,IC50 = 19998618.7,2.00E+07,-9.9,5.43E+01,-2.00E+07,
CHEMBL209425,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3ccccc3-c3ccc(Cl)cc3)cc1)n2C1CCCCC1,IC50 = 19998618.7,2.00E+07,-8.2,9.61E+02,-2.00E+07,
CHEMBL212582,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3cccnc3-c3ccc(Cl)cc3)cc1)n2C1CCCCC1,IC50 = 18879913.49,1.89E+07,-9,2.49E+02,-1.89E+07,
CHEMBL209681,N#Cc1ccc(-c2ccc(Cl)cc2COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)cc1,IC50 = 18197008.59,1.82E+07,-8.8,3.49E+02,-1.82E+07,
CHEMBL373930,O=C(O)c1ccc(-c2ccc(Cl)cc2COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)cc1,IC50 = 17258378.92,1.73E+07,-9.9,5.43E+01,-1.73E+07,
CHEMBL211213,CN(C)c1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)c1,IC50 = 15885467.49,1.59E+07,-5.6,7.77E+04,-1.58E+07,
CHEMBL387301,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3ccccc3-c3ccccc3)cc1F)n2C1CCCCC1,IC50 = 10000000,1.00E+07,-8.9,2.94E+02,-1.00E+07,
CHEMBL378524,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3ncccc3-c3ccc(Cl)cc3)cc1)n2C1CCCCC1,IC50 = 6668067.69,6.67E+06,-8.6,4.89E+02,-6.67E+06,
CHEMBL212583,Cc1nc(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)c(-c2ccc(Cl)cc2)s1,IC50 = 5888436.55,5.89E+06,-6.3,2.38E+04,-5.87E+06,
CHEMBL2296656,Cc1ncc(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)c(F)c2)c(-c2ccc(Cl)cc2)n1,IC50 = 5321082.59,5.32E+06,-7.6,2.65E+03,-5.32E+06,
CHEMBL212677,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3cc(Cl)ccc3-c3ccccc3)cc1)n2C1CCCCC1,IC50 = 5000345.35,5.00E+06,-9.4,1.27E+02,-5.00E+06,
CHEMBL209282,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3cc(Cl)ccc3-c3cccnc3)cc1)n2C1CCCCC1,IC50 = 3451437.39,3.45E+06,-7.6,2.65E+03,-3.45E+06,
CHEMBL379796,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3ccccc3-c3ccccc3)cc1Cl)n2C1CCCCC1,IC50 = 2857590.54,2.86E+06,-8.3,8.12E+02,-2.86E+06,
CHEMBL377907,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3ccccc3-c3ccccc3)c(F)c1)n2C1CCCCC1,IC50 = 2630267.99,2.63E+06,-7.4,3.71E+03,-2.63E+06,
CHEMBL378284,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3cc(Cl)ccc3-c3cccc(Cl)c3)cc1)n2C1CCCCC1,IC50 = 2084490.88,2.08E+06,-8.8,3.49E+02,-2.08E+06,
CHEMBL384679,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3ccccc3-c3ccccc3)cc1C(F)(F)F)n2C1CCCCC1,IC50 = 1076465.21,1.08E+06,-8,1.35E+03,-1.08E+06,
CHEMBL174331,O=C(O)c1ccc2[nH]c(-c3ccccn3)nc2c1,IC50 > 500000,5.00E+05,-7.4,3.71E+03,-4.96E+05,
CHEMBL175454,O=C(O)c1ccc2c(c1)nc(-c1ccccn1)n2-c1ccccc1,IC50 = 360000,3.60E+05,-6.3,2.38E+04,-3.36E+05,
CHEMBL369640,CC(C)n1c(-c2ccccn2)nc2cc(C(=O)O)ccc21,IC50 = 408000,4.08E+05,-5.1,1.81E+05,-2.27E+05,
CHEMBL178067,Cc1cc(C)c(-c2nc3cc(C(=O)O)ccc3n2C2CCCCC2)c(C)c1,IC50 = 120000,1.20E+05,-7.4,3.71E+03,-1.16E+05,
CHEMBL263310,COc1ccc(-c2nc3ncnc(O)c3nc2-c2ccc(OC)cc2)cc1,IC50 > 100000,1.00E+05,-8.3,8.12E+02,-9.92E+04,
CHEMBL183482,Fc1ccc(CCNc2ncnc3nc(-c4ccccc4)c(-c4ccccc4)nc23)cc1,IC50 > 100000,1.00E+05,-8.2,9.61E+02,-9.90E+04,
CHEMBL179903,COc1cccc(-c2nc3ncnc(O)c3nc2-c2cccc(OC)c2)c1,IC50 > 100000,1.00E+05,-8.1,1.14E+03,-9.89E+04,
CHEMBL193333,O=C(Nc1ccccc1)/C(=C/c1ccc(Oc2ccccc2Br)cc1)NC(=O)c1ccccc1,IC50 > 100000,1.00E+05,-7.7,2.24E+03,-9.78E+04,
CHEMBL195565,O=C(O)/C(=C/c1ccc(-c2ccc([N+](=O)[O-])cc2)o1)NC(=O)c1ccccc1,IC50 > 100000,1.00E+05,-7.6,2.65E+03,-9.74E+04,
CHEMBL372277,O=C(NCc1ccccc1)/C(=C/c1ccc(Oc2ccccc2Br)cc1)NC(=O)c1ccccc1,IC50 > 100000,1.00E+05,-7.5,3.14E+03,-9.69E+04,
CHEMBL374931,C[C@@]1(O)[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O[C@H]1n1cnc2c(N)ncnc21,IC50 > 100000,1.00E+05,-7.4,3.71E+03,-9.63E+04,
CHEMBL364976,O=C(O)/C(=C/c1ccc(-c2cccc(CO)c2)o1)NC(=O)c1ccccc1,IC50 > 100000,1.00E+05,-7.4,3.71E+03,-9.63E+04,
CHEMBL359952,CCCCCCNc1ncnc2nc(-c3ccccc3)c(-c3ccccc3)nc12,IC50 > 100000,1.00E+05,-7.1,6.16E+03,-9.38E+04,
CHEMBL195310,O=C(O)/C(=C/c1cncc(-c2ccccc2Cl)c1)NC(=O)c1ccccc1,IC50 > 100000,1.00E+05,-7.1,6.16E+03,-9.38E+04,
CHEMBL217360,O=C(O)c1ccc2c(c1)S(=O)(=O)C(c1ccoc1)=C2C1CCCC1,IC50 > 100000,1.00E+05,-7,7.30E+03,-9.27E+04,
CHEMBL4106882,O=c1ccn(C2OC(CO)[C@@H](O)[C@]23CCO3)c(=O)[nH]1,IC50 > 100000,1.00E+05,-7,7.30E+03,-9.27E+04,
CHEMBL3121489,O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@]23CCO3)c(=O)[nH]1,IC50 > 100000,1.00E+05,-6.6,1.43E+04,-8.57E+04,
CHEMBL188277,COC(=O)c1nc(-c2ccc(Cl)cc2)nc(O)c1O,IC50 > 100000,1.00E+05,-6.5,1.70E+04,-8.30E+04,
CHEMBL215350,CC1(CCc2ccc(O)cc2)CC(=O)CC(=O)O1,IC50 > 100000,1.00E+05,-6.4,2.01E+04,-7.99E+04,
CHEMBL426244,COc1ccccc1CCNc1ncnc2nc(-c3ccc(F)cc3)c(-c3ccc(F)cc3)nc12,IC50 = 80000,8.00E+04,-8.4,6.85E+02,-7.93E+04,
CHEMBL198005,O=C(O)C(=O)/C=C(\O)c1ccc(Cc2cccc(Cl)c2)s1,IC50 = 82000,8.20E+04,-7.3,4.40E+03,-7.76E+04,
CHEMBL195576,NS(=O)(=O)c1cccc(-c2ccc(/C=C(\NC(=O)c3ccccc3)C(=O)O)o2)c1,IC50 > 100000,1.00E+05,-6.3,2.38E+04,-7.62E+04,
CHEMBL110021,CCOC(=O)c1cc(=O)c(O)c(C(=O)OCC)o1,IC50 > 100000,1.00E+05,-6.3,2.38E+04,-7.62E+04,
CHEMBL197882,Cc1sc(-c2ccccc2)cc1/C(O)=C/C(=O)C(=O)O,IC50 = 167000,1.67E+05,-5.5,9.20E+04,-7.50E+04,
CHEMBL175685,O=C(O)c1ccc2c(c1)nc(-c1ccccn1)n2C1CCC1,IC50 = 76000,7.60E+04,-8.1,1.14E+03,-7.49E+04,
CHEMBL372675,O=C(O)C(=O)/C=C(\O)c1ccsc1Cc1cccc(F)c1,IC50 = 80000,8.00E+04,-6.8,1.02E+04,-6.98E+04,
CHEMBL364520,O=C(O)C(=O)/C=C(\O)c1cccc(N2CCCC2)c1,IC50 = 84000,8.40E+04,-6.6,1.43E+04,-6.97E+04,
CHEMBL421353,O=C(O)C(=O)/C=C(\O)c1cccn1Cc1ccc(F)cc1,IC50 = 93000,9.30E+04,-6.3,2.38E+04,-6.92E+04,
CHEMBL196042,O=C(O)C(=O)/C=C(\O)c1ccc(Cc2cccc(F)c2)s1,IC50 = 74000,7.40E+04,-7.2,5.21E+03,-6.88E+04,
CHEMBL181653,O=C(O)c1nc(-c2cccs2)nc(O)c1O,IC50 = 92000,9.20E+04,-6.3,2.38E+04,-6.82E+04,
CHEMBL372498,O=C(O)/C(=C/c1ccc(Oc2ccccc2[N+](=O)[O-])cc1)NC(=O)c1ccccc1,IC50 = 73000,7.30E+04,-7.2,5.21E+03,-6.78E+04,
CHEMBL363178,O=C(O)/C(=C/c1ccc(-c2cccc(OC(F)(F)F)c2)o1)NC(=O)c1ccccc1,IC50 = 66000,6.60E+04,-7.4,3.71E+03,-6.23E+04,
CHEMBL205086,O=C(O)c1nc(-c2sccc2[N+](=O)[O-])n(Cc2ccccc2)c(=O)c1O,IC50 = 79300,7.93E+04,-6.5,1.70E+04,-6.23E+04,
CHEMBL360256,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2cccnc2n1OCc1ccccc1,IC50 = 58000,5.80E+04,-9.6,9.02E+01,-5.79E+04,
CHEMBL196421,O=C(O)C(=O)/C=C(\O)c1ccc(Cc2ccccc2)s1,IC50 = 68000,6.80E+04,-6.8,1.02E+04,-5.78E+04,
CHEMBL194460,O=C(O)C(=O)/C=C(\O)c1ccc(Cc2ccc(F)cc2)s1,IC50 = 65000,6.50E+04,-7,7.30E+03,-5.77E+04,
CHEMBL197953,CCCCS(=O)(=O)N1CCCC(Cc2ccc(Cl)cc2)(/C(O)=C/C(=O)C(=O)O)C1,IC50 = 81400,8.14E+04,-6.3,2.38E+04,-5.76E+04,
CHEMBL4212840,C#C[C@]1(O)[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O[C@H]1n1ccc(=O)[nH]c1=O.CCN(CC)CC.CCN(CC)CC.CCN(CC)CC.CCN(CC)CC,IC50 = 54000,5.40E+04,-,,-5.40E+04,"Conformer generation is disallowed since too many atoms, too flexible, mixture or salt"
CHEMBL176038,O=C(O)c1ccc2c(c1)nc(-c1cc3ccccc3o1)n2C1CCCCC1,IC50 = 58000,5.80E+04,-7,7.30E+03,-5.07E+04,
CHEMBL211712,O=C(O)c1ccc2cc(C3CCCCC3)c(-c3ccccc3)nc2c1,IC50 > 50000,5.00E+04,-8.2,9.61E+02,-4.90E+04,
CHEMBL194678,O=C(O)C(=O)/C=C(\O)c1cccc(OCc2cccc(Oc3ccccc3)c2)c1,IC50 = 50000,5.00E+04,-8,1.35E+03,-4.87E+04,
CHEMBL382966,O=C(O)C(=O)/C=C(\O)c1cccc(OCc2ccc(-c3ccccc3)cc2)c1,IC50 = 50000,5.00E+04,-7.9,1.60E+03,-4.84E+04,
CHEMBL425788,O=C(O)/C=C/c1cc(C2CCCCC2)c(-c2ccccn2)[nH]1,IC50 > 50000,5.00E+04,-7.9,1.60E+03,-4.84E+04,
CHEMBL4107429,C[C@]1(N)[C@H](c2cnn3c(N)ncnc23)O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@H]1O,IC50 = 51000,5.10E+04,-7.6,2.65E+03,-4.84E+04,
CHEMBL193508,O=C(O)/C(=C/c1ccc(Oc2ccccc2-c2ccccc2)cc1)NC(=O)c1ccccc1,IC50 = 48000,4.80E+04,-9.2,1.77E+02,-4.78E+04,
CHEMBL2387643,O=C(O)[C@H](Cc1ccccc1)N1C(=O)/C(=C/c2cccc(Oc3ccc(Cl)c(Cl)c3)c2)SC1=S,IC50 = 47800,4.78E+04,-9,2.49E+02,-4.76E+04,
CHEMBL2387641,O=C(O)[C@H](Cc1ccccc1)N1C(=O)/C(=C/c2cccc(Oc3ccc(Cl)cc3)c2)SC1=S,IC50 = 55700,5.57E+04,-6.9,8.64E+03,-4.71E+04,
CHEMBL203976,O=C(O)c1nc(C2CCCCC2)nc(O)c1O,IC50 > 50000,5.00E+04,-7.4,3.71E+03,-4.63E+04,
CHEMBL203976,O=C(O)c1nc(C2CCCCC2)nc(O)c1O,IC50 > 50000,5.00E+04,-7.4,3.71E+03,-4.63E+04,
CHEMBL204900,O=C(O)c1nc(Cc2ccccc2)nc(O)c1O,IC50 > 50000,5.00E+04,-7.3,4.40E+03,-4.56E+04,
CHEMBL183403,O=C(O)c1cnc(N(C(=O)c2ccc(Oc3ccccc3)cc2)C2CCS(=O)(=O)CC2)s1,IC50 > 50000,5.00E+04,-7.2,5.21E+03,-4.48E+04,
CHEMBL193520,O=C(O)/C(=C/c1ccc(-c2ccc(CO)cc2)o1)NC(=O)c1ccccc1,IC50 > 100000,1.00E+05,-5.8,5.54E+04,-4.46E+04,
CHEMBL109516,O=C(O)c1cc(=O)c(O)c(C(=O)O)o1,IC50 > 100000,1.00E+05,-5.8,5.54E+04,-4.46E+04,
CHEMBL384169,O=C(O)/C=C/c1cc(-c2ccccn2)n(C2CCCCC2)n1,IC50 > 100000,1.00E+05,-5.8,5.54E+04,-4.46E+04,
CHEMBL195087,CC(C)Oc1ccccc1Oc1ccc(/C=C(\NC(=O)c2ccccc2)C(=O)O)cc1,IC50 = 44000,4.40E+04,-8.4,6.85E+02,-4.33E+04,
CHEMBL223585,C[C@@]1(O)[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O[C@H]1n1ccc(N)nc1=O,IC50 = 60000,6.00E+04,-6.5,1.70E+04,-4.30E+04,
CHEMBL474496,N#Cc1c(Cl)cc(Cl)cc1COc1cccc(C(=O)/C=C(\O)C(=O)O)c1,IC50 = 45000,4.50E+04,-7.7,2.24E+03,-4.28E+04,
CHEMBL360125,O=C(Nc1ncc(C(=O)O)s1)c1ccc(Oc2ccccc2)cc1,IC50 > 50000,5.00E+04,-6.9,8.64E+03,-4.14E+04,
CHEMBL199199,O=C(O)C(=O)/C=C(\O)c1ccccc1OCc1ccccc1,IC50 = 44000,4.40E+04,-7.5,3.14E+03,-4.09E+04,
