,Molecule_ChEMBL_ID,,,Smiles,,IC50
ligand_resname1=",CHEMBL183968,"""",smiles1=",COc1ccc2c(C(=O)N(CC(=O)O)C(=O)OCC(C)(C)C)c(Br)ccc2c1C(F)(F)F,"""",6400
ligand_resname2=",CHEMBL185249,"""",smiles2=",COc1ccc2c(C(=O)NC(CC(=O)O)C(=O)O)c(F)ccc2c1C(F)(F)F,"""",2100
ligand_resname3=",CHEMBL184447,"""",smiles3=",COc1ccc2c(C(=O)NC(CC(=O)O)C(=O)O)cccc2c1C(F)(F)F,"""",1300
ligand_resname4=",CHEMBL361657,"""",smiles4=",COc1ccc2c(C(=O)NC(CC(=O)O)C(=O)O)c(Br)ccc2c1C(F)(F)F,"""",910
ligand_resname5=",CHEMBL425352,"""",smiles5=",COc1ccc2c(C(=O)NC(CCC(=O)O)C(=O)O)cccc2c1Br,"""",590
ligand_resname6=",CHEMBL184072,"""",smiles6=",COc1ccc2c(C(=O)NC(CCC(=O)O)C(=O)O)c(Br)ccc2c1C(F)(F)F,"""",120
ligand_resname7=",CHEMBL184402,"""",smiles7=",COc1ccc2c(C(=O)NC(CC(=O)O)C(=O)O)cccc2c1Br,"""",1200
ligand_resname8=",CHEMBL184500,"""",smiles8=",COc1ccc2c(C(=O)NC(CCC(=O)O)C(=O)O)cccc2c1C(F)(F)F,"""",490
ligand_resname9=",CHEMBL183575,"""",smiles9=",CCCOC(=O)N(CC(=O)O)C(=O)c1c(Br)ccc2c(C(F)(F)F)c(OC)ccc12,"""",4900
ligand_resname10=",CHEMBL84384,"""",smiles10=",COC(=O)N(CC(=O)O)C(=O)c1c(Cl)ccc2c(C(F)(F)F)c(OC)ccc12,"""",5000
ligand_resname11=",CHEMBL184665,"""",smiles11=",COc1ccc2c(C(=O)N(CC(=O)O)C(=O)OCC(C)C)c(Br)ccc2c1C(F)(F)F,"""",7700
ligand_resname12=",CHEMBL185085,"""",smiles12=",COC(=O)N(CCC(=O)O)C(=O)c1c(Br)ccc2c(C(F)(F)F)c(OC)ccc12,"""",10000
ligand_resname13=",CHEMBL310174,"""",smiles13=",COC(=O)N(CC(=O)O)C(=O)c1cccc2c(C(F)(F)F)c(OC)ccc12,"""",26000
ligand_resname14=",CHEMBL182728,"""",smiles14=",C#CCOC(=O)N(CC(=O)O)C(=O)c1c(Br)ccc2c(C(F)(F)F)c(OC)ccc12,"""",2900
ligand_resname15=",CHEMBL84152,"""",smiles15=",COC(=O)N(CC(=O)O)C(=O)c1c(F)ccc2c(C(F)(F)F)c(OC)ccc12,"""",15200
ligand_resname16=",CHEMBL183498,"""",smiles16=",C=CCOC(=O)N(CC(=O)O)C(=O)c1c(Br)ccc2c(C(F)(F)F)c(OC)ccc12,"""",3300
ligand_resname17=",CHEMBL310098,"""",smiles17=",COc1ccc2c(C(=O)N(C)CC(=O)O)c(Cl)ccc2c1C(F)(F)F,"""",5100
ligand_resname18=",CHEMBL316179,"""",smiles18=",COc1ccc2c(C(=O)N(C)CC(=O)O)c(Br)ccc2c1C(F)(F)F,"""",2000
ligand_resname19=",CHEMBL83984,"""",smiles19=",COC(=O)N(CC(=O)O)C(=O)c1c(Br)ccc2c(C(F)(F)F)c(OC)ccc12,"""",1400
ligand_resname20=",CHEMBL83762,"""",smiles20=",COC(=O)N(CC(=O)O)C(=O)c1c(OC)ccc2c(C(F)(F)F)c(OC)ccc12,"""",11300
ligand_resname21=",CHEMBL183364,"""",smiles21=",COc1ccc2c(C(=O)N(CC(=O)O)CC(=O)O)cccc2c1C(F)(F)F,"""",900
ligand_resname22=",CHEMBL184121,"""",smiles22=",COc1ccc2ccccc2c1C(=O)NC(CC(=O)O)C(=O)O,"""",10000
ligand_resname23=",CHEMBL184977,"""",smiles23=",COC(=O)N(CC(=O)O)C(=O)c1c(-c2ccc(Cl)cc2)ccc2c(C(F)(F)F)c(OC)ccc12,"""",20000
ligand_resname24=",CHEMBL82516,"""",smiles24=",CCOC(=O)N(CC(=O)O)C(=O)c1c(Br)ccc2c(C(F)(F)F)c(OC)ccc12,"""",3100
ligand_resname25=",CHEMBL362481,"""",smiles25=",COc1ccc2c(C(=O)NC(CCC(=O)O)C(=O)O)c(F)ccc2c1C(F)(F)F,"""",1400
