"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL210597";"";"0";"374.63";"0";"2.59";"25";"O=C(O)[C@@H]1CCCN1S(=O)(=O)c1cc(Cl)c(Cl)c(Cl)c1O";"IC50";"'='";"80.0";"nM";"7.10";"";"";"UO_0000065";"18.94";"0.46";"4.51";"7.48";"0";"CHEMBL869357";"Inhibition of HCV NS5B RNA dependent RNA polymerase";"B";"BAO_0000357";"single protein format";"Hepatitis C virus";"None";"None";"None";"None";"";"";"";"CHEMBL5375";"Hepatitis C virus NS5B RNA-dependent RNA polymerase";"Hepatitis C virus";"SINGLE PROTEIN";"CHEMBL1147722";"1";"Scientific Literature";"J. Med. Chem.";"2006";"None";""
"CHEMBL379117";"";"0";"360.82";"0";"1.84";"19";"CC(=O)Nc1cc(C)c(Cl)cc1S(=O)(=O)N1CCC[C@H]1C(=O)O";"IC50";"'>'";"20000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL869357";"Inhibition of HCV NS5B RNA dependent RNA polymerase";"B";"BAO_0000357";"single protein format";"Hepatitis C virus";"None";"None";"None";"None";"";"";"";"CHEMBL5375";"Hepatitis C virus NS5B RNA-dependent RNA polymerase";"Hepatitis C virus";"SINGLE PROTEIN";"CHEMBL1147722";"1";"Scientific Literature";"J. Med. Chem.";"2006";"None";""
"CHEMBL382995";"";"0";"358.22";"0";"1.85";"34";"O=C(O)[C@H]1CSCN1S(=O)(=O)c1cc(Cl)cc(Cl)c1O";"IC50";"'='";"1700.0";"nM";"5.77";"";"";"UO_0000065";"16.11";"0.39";"3.92";"6.08";"0";"CHEMBL869357";"Inhibition of HCV NS5B RNA dependent RNA polymerase";"B";"BAO_0000357";"single protein format";"Hepatitis C virus";"None";"None";"None";"None";"";"";"";"CHEMBL5375";"Hepatitis C virus NS5B RNA-dependent RNA polymerase";"Hepatitis C virus";"SINGLE PROTEIN";"CHEMBL1147722";"1";"Scientific Literature";"J. Med. Chem.";"2006";"None";""
"CHEMBL426503";"";"0";"321.19";"0";"2.38";"28";"N#C[C@@H]1CCCN1S(=O)(=O)c1cc(Cl)cc(Cl)c1O";"IC50";"'='";"1400.0";"nM";"5.85";"";"";"UO_0000065";"18.23";"0.42";"3.47";"7.19";"0";"CHEMBL869357";"Inhibition of HCV NS5B RNA dependent RNA polymerase";"B";"BAO_0000357";"single protein format";"Hepatitis C virus";"None";"None";"None";"None";"";"";"";"CHEMBL5375";"Hepatitis C virus NS5B RNA-dependent RNA polymerase";"Hepatitis C virus";"SINGLE PROTEIN";"CHEMBL1147722";"1";"Scientific Literature";"J. Med. Chem.";"2006";"None";""
"CHEMBL210593";"";"0";"318.78";"0";"1.47";"6";"Cc1cc(S(=O)(=O)N2CCC[C@H]2C(=O)O)c(N)cc1Cl";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL869359";"Inhibition of calf thymus polymerase alpha";"B";"BAO_0000357";"single protein format";"Bos taurus";"None";"None";"None";"None";"";"";"";"CHEMBL1828";"DNA polymerase alpha subunit";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1147722";"1";"Scientific Literature";"J. Med. Chem.";"2006";"None";""
"CHEMBL209167";"";"0";"354.21";"0";"2.33";"32";"O=C(O)[C@H]1CCCCN1S(=O)(=O)c1cc(Cl)cc(Cl)c1O";"IC50";"'='";"7100.0";"nM";"5.15";"";"";"UO_0000065";"14.54";"0.33";"2.82";"5.42";"0";"CHEMBL869357";"Inhibition of HCV NS5B RNA dependent RNA polymerase";"B";"BAO_0000357";"single protein format";"Hepatitis C virus";"None";"None";"None";"None";"";"";"";"CHEMBL5375";"Hepatitis C virus NS5B RNA-dependent RNA polymerase";"Hepatitis C virus";"SINGLE PROTEIN";"CHEMBL1147722";"1";"Scientific Literature";"J. Med. Chem.";"2006";"None";""
"CHEMBL210597";"";"0";"374.63";"0";"2.59";"25";"O=C(O)[C@@H]1CCCN1S(=O)(=O)c1cc(Cl)c(Cl)c(Cl)c1O";"permeability";"'='";"0.4";"ucm/s";"";"";"";"";"";"";"";"";"0";"CHEMBL868185";"Permeability from apical to basolateral side of the Caco-2 cell";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Caco-2";"None";"";"";"";"CHEMBL614058";"Caco-2";"Homo sapiens";"CELL-LINE";"CHEMBL1147722";"1";"Scientific Literature";"J. Med. Chem.";"2006";"CHEMBL3307519";""
"CHEMBL210597";"";"0";"374.63";"0";"2.59";"25";"O=C(O)[C@@H]1CCCN1S(=O)(=O)c1cc(Cl)c(Cl)c(Cl)c1O";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL868186";"Cytotoxicity against Vero cell line";"F";"BAO_0000219";"cell-based format";"Chlorocebus sabaeus";"None";"None";"Vero";"None";"";"";"";"CHEMBL391";"Vero";"Chlorocebus sabaeus";"CELL-LINE";"CHEMBL1147722";"1";"Scientific Literature";"J. Med. Chem.";"2006";"CHEMBL3307520";""
"CHEMBL379608";"";"0";"354.21";"0";"2.03";"27";"COC(=O)[C@@H]1CCCN1S(=O)(=O)c1cc(Cl)cc(Cl)c1O";"IC50";"'>'";"20000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL869357";"Inhibition of HCV NS5B RNA dependent RNA polymerase";"B";"BAO_0000357";"single protein format";"Hepatitis C virus";"None";"None";"None";"None";"";"";"";"CHEMBL5375";"Hepatitis C virus NS5B RNA-dependent RNA polymerase";"Hepatitis C virus";"SINGLE PROTEIN";"CHEMBL1147722";"1";"Scientific Literature";"J. Med. Chem.";"2006";"None";""
"CHEMBL210596";"";"0";"384.63";"0";"2.05";"24";"O=C(O)[C@@H]1CCCN1S(=O)(=O)c1cc(Cl)cc(Br)c1O";"IC50";"'='";"260.0";"nM";"6.58";"";"";"UO_0000065";"17.12";"0.45";"4.54";"6.94";"0";"CHEMBL869357";"Inhibition of HCV NS5B RNA dependent RNA polymerase";"B";"BAO_0000357";"single protein format";"Hepatitis C virus";"None";"None";"None";"None";"";"";"";"CHEMBL5375";"Hepatitis C virus NS5B RNA-dependent RNA polymerase";"Hepatitis C virus";"SINGLE PROTEIN";"CHEMBL1147722";"1";"Scientific Literature";"J. Med. Chem.";"2006";"None";""
"CHEMBL210593";"";"0";"318.78";"0";"1.47";"6";"Cc1cc(S(=O)(=O)N2CCC[C@H]2C(=O)O)c(N)cc1Cl";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL868183";"Inhibition of HIV reverse transcriptase";"B";"BAO_0000357";"single protein format";"Human immunodeficiency virus";"None";"None";"None";"None";"";"";"";"CHEMBL247";"Human immunodeficiency virus type 1 reverse transcriptase";"Human immunodeficiency virus 1";"SINGLE PROTEIN";"CHEMBL1147722";"1";"Scientific Literature";"J. Med. Chem.";"2006";"None";""
"CHEMBL208084";"";"0";"422.89";"0";"3.14";"20";"Cc1cc(NC(=O)c2ccccc2)c(S(=O)(=O)N2CCC[C@H]2C(=O)O)cc1Cl";"IC50";"'>'";"20000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL869357";"Inhibition of HCV NS5B RNA dependent RNA polymerase";"B";"BAO_0000357";"single protein format";"Hepatitis C virus";"None";"None";"None";"None";"";"";"";"CHEMBL5375";"Hepatitis C virus NS5B RNA-dependent RNA polymerase";"Hepatitis C virus";"SINGLE PROTEIN";"CHEMBL1147722";"1";"Scientific Literature";"J. Med. Chem.";"2006";"None";""
"CHEMBL210593";"";"0";"318.78";"0";"1.47";"6";"Cc1cc(S(=O)(=O)N2CCC[C@H]2C(=O)O)c(N)cc1Cl";"IC50";"'='";"3100.0";"nM";"5.51";"";"";"UO_0000065";"17.28";"0.38";"4.04";"5.47";"0";"CHEMBL869357";"Inhibition of HCV NS5B RNA dependent RNA polymerase";"B";"BAO_0000357";"single protein format";"Hepatitis C virus";"None";"None";"None";"None";"";"";"";"CHEMBL5375";"Hepatitis C virus NS5B RNA-dependent RNA polymerase";"Hepatitis C virus";"SINGLE PROTEIN";"CHEMBL1147722";"1";"Scientific Literature";"J. Med. Chem.";"2006";"None";""
"CHEMBL207500";"";"0";"323.73";"0";"1.42";"23";"O=C(O)[C@@H]1CCCN1S(=O)(=O)c1cc(F)cc(Cl)c1O";"IC50";"'='";"2100.0";"nM";"5.68";"";"";"UO_0000065";"17.54";"0.39";"4.26";"5.98";"0";"CHEMBL869357";"Inhibition of HCV NS5B RNA dependent RNA polymerase";"B";"BAO_0000357";"single protein format";"Hepatitis C virus";"None";"None";"None";"None";"";"";"";"CHEMBL5375";"Hepatitis C virus NS5B RNA-dependent RNA polymerase";"Hepatitis C virus";"SINGLE PROTEIN";"CHEMBL1147722";"1";"Scientific Literature";"J. Med. Chem.";"2006";"None";""
"CHEMBL378114";"";"0";"364.21";"0";"1.74";"29";"O=S(=O)(c1cc(Cl)cc(Cl)c1O)N1CCC[C@H]1c1nn[nH]n1";"IC50";"'='";"560.0";"nM";"6.25";"";"";"UO_0000065";"17.17";"0.39";"4.51";"5.58";"0";"CHEMBL869357";"Inhibition of HCV NS5B RNA dependent RNA polymerase";"B";"BAO_0000357";"single protein format";"Hepatitis C virus";"None";"None";"None";"None";"";"";"";"CHEMBL5375";"Hepatitis C virus NS5B RNA-dependent RNA polymerase";"Hepatitis C virus";"SINGLE PROTEIN";"CHEMBL1147722";"1";"Scientific Literature";"J. Med. Chem.";"2006";"None";""
"CHEMBL379855";"";"0";"296.17";"0";"2.48";"30";"O=S(=O)(c1cc(Cl)cc(Cl)c1O)N1CCCC1";"IC50";"'='";"4800.0";"nM";"5.32";"";"";"UO_0000065";"17.96";"0.43";"2.84";"9.23";"0";"CHEMBL869357";"Inhibition of HCV NS5B RNA dependent RNA polymerase";"B";"BAO_0000357";"single protein format";"Hepatitis C virus";"None";"None";"None";"None";"";"";"";"CHEMBL5375";"Hepatitis C virus NS5B RNA-dependent RNA polymerase";"Hepatitis C virus";"SINGLE PROTEIN";"CHEMBL1147722";"1";"Scientific Literature";"J. Med. Chem.";"2006";"None";""
"CHEMBL380182";"";"0";"340.18";"0";"1.94";"26";"O=C(O)[C@H]1CCCN1S(=O)(=O)c1cc(Cl)cc(Cl)c1O";"IC50";"'='";"7900.0";"nM";"5.10";"";"";"UO_0000065";"15.00";"0.35";"3.16";"5.38";"0";"CHEMBL869357";"Inhibition of HCV NS5B RNA dependent RNA polymerase";"B";"BAO_0000357";"single protein format";"Hepatitis C virus";"None";"None";"None";"None";"";"";"";"CHEMBL5375";"Hepatitis C virus NS5B RNA-dependent RNA polymerase";"Hepatitis C virus";"SINGLE PROTEIN";"CHEMBL1147722";"1";"Scientific Literature";"J. Med. Chem.";"2006";"None";""
"CHEMBL210593";"";"0";"318.78";"0";"1.47";"6";"Cc1cc(S(=O)(=O)N2CCC[C@H]2C(=O)O)c(N)cc1Cl";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL869358";"Inhibition of human polymerase beta";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2392";"DNA polymerase beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1147722";"1";"Scientific Literature";"J. Med. Chem.";"2006";"None";""
"CHEMBL208442";"";"0";"318.78";"0";"1.47";"18";"Cc1cc(N)c(S(=O)(=O)N2CCC[C@H]2C(=O)O)cc1Cl";"IC50";"'='";"5950.0";"nM";"5.22";"";"";"UO_0000065";"16.39";"0.36";"3.76";"5.19";"0";"CHEMBL869357";"Inhibition of HCV NS5B RNA dependent RNA polymerase";"B";"BAO_0000357";"single protein format";"Hepatitis C virus";"None";"None";"None";"None";"";"";"";"CHEMBL5375";"Hepatitis C virus NS5B RNA-dependent RNA polymerase";"Hepatitis C virus";"SINGLE PROTEIN";"CHEMBL1147722";"1";"Scientific Literature";"J. Med. Chem.";"2006";"None";""
"CHEMBL208803";"";"0";"354.21";"0";"2.33";"31";"O=C(O)[C@@H]1CCCCN1S(=O)(=O)c1cc(Cl)cc(Cl)c1O";"IC50";"'='";"2000.0";"nM";"5.70";"";"";"UO_0000065";"16.09";"0.37";"3.37";"6.00";"0";"CHEMBL869357";"Inhibition of HCV NS5B RNA dependent RNA polymerase";"B";"BAO_0000357";"single protein format";"Hepatitis C virus";"None";"None";"None";"None";"";"";"";"CHEMBL5375";"Hepatitis C virus NS5B RNA-dependent RNA polymerase";"Hepatitis C virus";"SINGLE PROTEIN";"CHEMBL1147722";"1";"Scientific Literature";"J. Med. Chem.";"2006";"None";""
"CHEMBL206946";"";"0";"324.18";"0";"2.23";"22";"O=C(O)[C@@H]1CCCN1S(=O)(=O)c1cc(Cl)cc(Cl)c1";"IC50";"'>'";"20000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL869357";"Inhibition of HCV NS5B RNA dependent RNA polymerase";"B";"BAO_0000357";"single protein format";"Hepatitis C virus";"None";"None";"None";"None";"";"";"";"CHEMBL5375";"Hepatitis C virus NS5B RNA-dependent RNA polymerase";"Hepatitis C virus";"SINGLE PROTEIN";"CHEMBL1147722";"1";"Scientific Literature";"J. Med. Chem.";"2006";"None";""
