Molecule ChEMBL ID,Smiles,Standard Type,Standard Value,,,
CHEMBL2373969,C=C(O)C[C@H]1[C@@H](C(=O)O)[C@@]23C4=C5c6c7c8c9c(c%10c%11c%12c%13c%14c%15c%16c%17c%18c%19c%20c%21c%22c%23c(c6c6c8c8c%24c9c%11c9c(c%16%12)c%17c%11c%19c%12c%21c%23c6c8c%12c%11c9%24)[C@@H]5[C@@H]5C=%22[C@H]6c8c5c4c(c-%14c8[C@H]%15[C@@H]%18[C@@H]%206)[C@@H]2[C@H]%13%10)[C@]73[C@@H]1C(=O)O,IC50=2000nM,2.00E+03,-7.7,2.24E+03,
CHEMBL368589,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3cc(C(=O)N4CCC(O)CC4)ccc3-c3ccc(Cl)cc3)cc1F)n2C1CCCCC1,IC50=14nM,1.40E+01,-7.4,3.71E+03,
CHEMBL210297,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3cc(N4CCCC4=O)ccc3-c3ccc(Cl)cc3)cc1F)n2C1CCCCC1,IC50=62nM,6.20E+01,-7.4,3.71E+03,
CHEMBL425769,O=C(O)c1ccc2c(c1)nc(-c1ccc(OC(c3cccc(F)c3)c3cccc(F)c3)cc1)n2C1CCCCC1,IC50=1900nM,1.90E+03,-7.4,3.71E+03,
CHEMBL379435,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3cc(C(=O)N4CCOCC4)ccc3-c3ccc(Cl)cc3)cc1F)n2C1CCCCC1,IC50=14nM,1.40E+01,-7.4,3.71E+03,
CHEMBL205716,O=C(O)c1ccc2c(c1)nc(-c1ccc(OC(c3ccccc3)c3cccnc3)cc1F)n2C1CCCCC1,IC50=800nM,8.00E+02,-7.3,4.40E+03,
CHEMBL210297,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3cc(N4CCCC4=O)ccc3-c3ccc(Cl)cc3)cc1F)n2C1CCCCC1,IC50=170nM,1.70E+02,-7.2,5.21E+03,
CHEMBL209853,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3cc(C(=O)NCc4ccccc4)ccc3-c3ccc(Cl)cc3)cc1)n2C1CCCCC1,IC50=29nM,2.90E+01,-7.2,5.21E+03,
CHEMBL373930,O=C(O)c1ccc(-c2ccc(Cl)cc2COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)cc1,IC50=58nM,5.80E+01,-7.2,5.21E+03,
CHEMBL383304,O=C(O)c1ccc2c(c1)nc(-c1ccc(OC(c3cccnc3)c3cccnc3)cc1F)n2C1CCCCC1,IC50=1100nM,1.10E+03,-7.1,6.16E+03,
