Molecule ChEMBL ID,Smiles,IC50
CHEMBL366197,O=C(O)/C(=C/c1ccc(Oc2c(F)cccc2Br)cc1)NC(=O)c1ccccc1,30
CHEMBL370679,O=C(O)/C(=C/c1ccc(Oc2ccccc2I)cc1)NC(=O)c1ccccc1,40
CHEMBL193427,O=C(O)/C(=C/c1ccc(Oc2c(F)cccc2Cl)cc1)NC(=O)c1ccccc1,70
CHEMBL188442,O=C(O)/C(=C/c1ccc(Oc2ccccc2Br)cc1)NC(=O)c1ccccc1,100
CHEMBL195476,O=C(O)/C(=C/c1ccc(Oc2ccccc2Cl)cc1)NC(=O)c1ccccc1,200
CHEMBL194438,Cc1cccc(Cl)c1Oc1ccc(/C=C(\NC(=O)c2ccccc2)C(=O)O)cc1,200
CHEMBL371573,Nc1cccc(Cl)c1Oc1ccc(/C=C(\NC(=O)c2ccccc2)C(=O)O)cc1,310
CHEMBL373305,Cc1ccccc1Oc1ccc(/C=C(\NC(=O)c2ccccc2)C(=O)O)cc1,580
CHEMBL363563,O=C(O)/C(=C/c1ccc(-c2ccccc2Cl)s1)NC(=O)c1ccccc1,660
CHEMBL371410,O=C(O)/C(=C/c1ccc(Oc2ccccc2C(F)(F)F)cc1)NC(=O)c1ccccc1,1300
CHEMBL372060,O=C(O)/C(=C/c1ccc(-c2ccccc2Cl)o1)NC(=O)c1ccccc1,1300
CHEMBL195798,O=C(O)/C(=C/c1cccc(-c2ccccc2Cl)c1)NC(=O)c1ccccc1,1300
CHEMBL373120,Cc1ccccc1-c1ccc(/C=C(\NC(=O)c2ccccc2)C(=O)O)s1,1400
CHEMBL194178,O=C(O)/C(=C/c1ccc(-c2ccccc2)s1)NC(=O)c1ccccc1,1500
CHEMBL194380,CSc1ccccc1Oc1ccc(/C=C(\NC(=O)c2ccccc2)C(=O)O)cc1,1800
CHEMBL193630,O=C(O)/C(=C/c1ccc(-c2ccccc2F)s1)NC(=O)c1ccccc1,2600
CHEMBL364017,Cc1ccccc1-c1ccc(/C=C(\NC(=O)c2ccccc2)C(=O)O)o1,3000
CHEMBL193403,O=C(O)/C(=C/c1ccc(-c2ccccc2F)o1)NC(=O)c1ccccc1,3100
CHEMBL193549,O=C(O)/C(=C/c1ccc(-c2cccc(F)c2)o1)NC(=O)c1ccccc1,3900
CHEMBL194116,O=C(O)/C(=C/c1ccc(-c2ccccc2OC(F)(F)F)o1)NC(=O)c1ccccc1,4000
CHEMBL194064,O=C(O)/C(=C/c1ccc(-c2ccc(Cl)cc2)o1)NC(=O)c1ccccc1,4600
CHEMBL365127,O=C(O)/C(=C/c1ncc(-c2ccccc2Cl)s1)NC(=O)c1ccccc1,5200
CHEMBL195256,O=C(O)/C(=C/c1ccc(Oc2c(Cl)cccc2[N+](=O)[O-])cc1)NC(=O)c1ccccc1,5500
CHEMBL364301,O=C(O)/C(=C/c1ccc(-c2ccccc2C(F)(F)F)o1)NC(=O)c1ccccc1,5600
CHEMBL364072,O=C(O)/C(=C/c1ccc(-c2cccc(Cl)c2)o1)NC(=O)c1ccccc1,6000
