Molecule,Smiles,IC50,affinity(kcal/mol),rmsd l.b.,rmsd u.b.,rmsd_from_initial
CHEMBL4646449,Cc1ccc2c(-c3ccc[nH]c3=O)c(C(=O)NS(=O)(=O)C3CC3)n(Cc3cc(F)ccc3F)c2c1,5,-8.8,0,0,2.062877324
CHEMBL4646449,Cc1ccc2c(-c3ccc[nH]c3=O)c(C(=O)NS(=O)(=O)C3CC3)n(Cc3cc(F)ccc3F)c2c1,5,-8.7,3.068,6.26,3.095328323
CHEMBL4646449,Cc1ccc2c(-c3ccc[nH]c3=O)c(C(=O)NS(=O)(=O)C3CC3)n(Cc3cc(F)ccc3F)c2c1,5,-8.6,3.064,6.071,2.745690047
CHEMBL4646449,Cc1ccc2c(-c3ccc[nH]c3=O)c(C(=O)NS(=O)(=O)C3CC3)n(Cc3cc(F)ccc3F)c2c1,5,-8.6,0.92,1.473,2.496531491
CHEMBL4646449,Cc1ccc2c(-c3ccc[nH]c3=O)c(C(=O)NS(=O)(=O)C3CC3)n(Cc3cc(F)ccc3F)c2c1,5,-8.6,3.091,6.183,2.983606869
CHEMBL4646449,Cc1ccc2c(-c3ccc[nH]c3=O)c(C(=O)NS(=O)(=O)C3CC3)n(Cc3cc(F)ccc3F)c2c1,5,-8.3,3.177,5.977,2.428789689
CHEMBL4646449,Cc1ccc2c(-c3ccc[nH]c3=O)c(C(=O)NS(=O)(=O)C3CC3)n(Cc3cc(F)ccc3F)c2c1,5,-8.2,2.05,2.571,2.401737794
CHEMBL4646449,Cc1ccc2c(-c3ccc[nH]c3=O)c(C(=O)NS(=O)(=O)C3CC3)n(Cc3cc(F)ccc3F)c2c1,5,-8,2.81,6.106,2.9295393
CHEMBL4646449,Cc1ccc2c(-c3ccc[nH]c3=O)c(C(=O)NS(=O)(=O)C3CC3)n(Cc3cc(F)ccc3F)c2c1,5,-7.6,3.093,6.267,2.306245082
CHEMBL4633142,CC1COc2cc3c(-c4ccc[nH]c4=O)c(C(=O)NS(C)(=O)=O)n(Cc4cc(F)ccc4F)c3cc21,6,-9,0,0,1.907491351
CHEMBL4633142,CC1COc2cc3c(-c4ccc[nH]c4=O)c(C(=O)NS(C)(=O)=O)n(Cc4cc(F)ccc4F)c3cc21,6,-8.9,0.827,1.477,2.357072561
CHEMBL4633142,CC1COc2cc3c(-c4ccc[nH]c4=O)c(C(=O)NS(C)(=O)=O)n(Cc4cc(F)ccc4F)c3cc21,6,-8.8,2.947,6.143,2.274481528
CHEMBL4633142,CC1COc2cc3c(-c4ccc[nH]c4=O)c(C(=O)NS(C)(=O)=O)n(Cc4cc(F)ccc4F)c3cc21,6,-8.6,3.022,6.23,2.444786227
CHEMBL4633142,CC1COc2cc3c(-c4ccc[nH]c4=O)c(C(=O)NS(C)(=O)=O)n(Cc4cc(F)ccc4F)c3cc21,6,-8.5,2.847,6.093,2.467222992
CHEMBL4633142,CC1COc2cc3c(-c4ccc[nH]c4=O)c(C(=O)NS(C)(=O)=O)n(Cc4cc(F)ccc4F)c3cc21,6,-8.5,2.897,6.189,2.28352332
CHEMBL4633142,CC1COc2cc3c(-c4ccc[nH]c4=O)c(C(=O)NS(C)(=O)=O)n(Cc4cc(F)ccc4F)c3cc21,6,-8.5,2.834,5.858,1.971785692
CHEMBL4633142,CC1COc2cc3c(-c4ccc[nH]c4=O)c(C(=O)NS(C)(=O)=O)n(Cc4cc(F)ccc4F)c3cc21,6,-8.3,3.394,6.422,2.032787417
CHEMBL4633142,CC1COc2cc3c(-c4ccc[nH]c4=O)c(C(=O)NS(C)(=O)=O)n(Cc4cc(F)ccc4F)c3cc21,6,-8.2,3.021,6.177,1.914815682
CHEMBL2011266,Cc1cc2c(-c3ccc[nH]c3=O)c(C(=O)NS(=O)(=O)C3CC3)n(Cc3cc(F)ccc3F)c2cc1F,8,-8.7,0,0,3.062268281
CHEMBL2011266,Cc1cc2c(-c3ccc[nH]c3=O)c(C(=O)NS(=O)(=O)C3CC3)n(Cc3cc(F)ccc3F)c2cc1F,8,-8.7,3.074,6.215,2.067213926
CHEMBL2011266,Cc1cc2c(-c3ccc[nH]c3=O)c(C(=O)NS(=O)(=O)C3CC3)n(Cc3cc(F)ccc3F)c2cc1F,8,-8.6,2.521,5.627,2.553126272
CHEMBL2011266,Cc1cc2c(-c3ccc[nH]c3=O)c(C(=O)NS(=O)(=O)C3CC3)n(Cc3cc(F)ccc3F)c2cc1F,8,-8.3,1.021,1.317,2.99860364
CHEMBL2011266,Cc1cc2c(-c3ccc[nH]c3=O)c(C(=O)NS(=O)(=O)C3CC3)n(Cc3cc(F)ccc3F)c2cc1F,8,-8.2,1.204,1.959,2.748045881
CHEMBL2011266,Cc1cc2c(-c3ccc[nH]c3=O)c(C(=O)NS(=O)(=O)C3CC3)n(Cc3cc(F)ccc3F)c2cc1F,8,-8.2,2.709,6.516,1.607638265
CHEMBL2011266,Cc1cc2c(-c3ccc[nH]c3=O)c(C(=O)NS(=O)(=O)C3CC3)n(Cc3cc(F)ccc3F)c2cc1F,8,-8.2,3.157,7.003,2.359887834
