Molecule,Smiles,IC50,affinity(kcal/mol),rmsd l.b.,rmsd u.b.,rmsd_from_initial
CHEMBL4646449,Cc1ccc2c(-c3ccc[nH]c3=O)c(C(=O)NS(=O)(=O)C3CC3)n(Cc3cc(F)ccc3F)c2c1,5,-9.7,0,0,2.686945521
CHEMBL4646449,Cc1ccc2c(-c3ccc[nH]c3=O)c(C(=O)NS(=O)(=O)C3CC3)n(Cc3cc(F)ccc3F)c2c1,5,-9.5,0.725,1.559,2.361262554
CHEMBL4646449,Cc1ccc2c(-c3ccc[nH]c3=O)c(C(=O)NS(=O)(=O)C3CC3)n(Cc3cc(F)ccc3F)c2c1,5,-9.2,2.474,5.748,2.988903232
CHEMBL4646449,Cc1ccc2c(-c3ccc[nH]c3=O)c(C(=O)NS(=O)(=O)C3CC3)n(Cc3cc(F)ccc3F)c2c1,5,-8.8,2.752,5.695,2.915021926
CHEMBL4646449,Cc1ccc2c(-c3ccc[nH]c3=O)c(C(=O)NS(=O)(=O)C3CC3)n(Cc3cc(F)ccc3F)c2c1,5,-8.8,2.295,3.133,3.105961529
CHEMBL4646449,Cc1ccc2c(-c3ccc[nH]c3=O)c(C(=O)NS(=O)(=O)C3CC3)n(Cc3cc(F)ccc3F)c2c1,5,-8.7,2.893,6.082,2.579775152
CHEMBL4646449,Cc1ccc2c(-c3ccc[nH]c3=O)c(C(=O)NS(=O)(=O)C3CC3)n(Cc3cc(F)ccc3F)c2c1,5,-8.6,3.26,6.212,3.129346836
CHEMBL4646449,Cc1ccc2c(-c3ccc[nH]c3=O)c(C(=O)NS(=O)(=O)C3CC3)n(Cc3cc(F)ccc3F)c2c1,5,-8.5,2.779,5.906,2.68455319
CHEMBL4646449,Cc1ccc2c(-c3ccc[nH]c3=O)c(C(=O)NS(=O)(=O)C3CC3)n(Cc3cc(F)ccc3F)c2c1,5,-8.4,2.072,2.504,2.14136153
CHEMBL4633142,CC1COc2cc3c(-c4ccc[nH]c4=O)c(C(=O)NS(C)(=O)=O)n(Cc4cc(F)ccc4F)c3cc21,6,-9.2,0,0,2.475376415
CHEMBL4633142,CC1COc2cc3c(-c4ccc[nH]c4=O)c(C(=O)NS(C)(=O)=O)n(Cc4cc(F)ccc4F)c3cc21,6,-9.2,3.196,6.274,2.144343584
CHEMBL4633142,CC1COc2cc3c(-c4ccc[nH]c4=O)c(C(=O)NS(C)(=O)=O)n(Cc4cc(F)ccc4F)c3cc21,6,-9.2,2.321,2.966,2.508797419
CHEMBL4633142,CC1COc2cc3c(-c4ccc[nH]c4=O)c(C(=O)NS(C)(=O)=O)n(Cc4cc(F)ccc4F)c3cc21,6,-9.2,3.303,6.199,2.404246861
