Molecule,Smiles,IC50,affinity(kcal/mol),rmsd l.b.,rmsd u.b.,rmsd_from_initial
CHEMBL3902813,O=C(Nc1c(OCc2ccc(Cl)cc2)cccc1C(=O)O)c1ccccc1,50000.0,-10.0,0.0,0.0,
CHEMBL3902813,O=C(Nc1c(OCc2ccc(Cl)cc2)cccc1C(=O)O)c1ccccc1,50000.0,-10.0,2.733,4.527,
CHEMBL3902813,O=C(Nc1c(OCc2ccc(Cl)cc2)cccc1C(=O)O)c1ccccc1,50000.0,-10.0,4.116,6.646,
CHEMBL3902813,O=C(Nc1c(OCc2ccc(Cl)cc2)cccc1C(=O)O)c1ccccc1,50000.0,-9.7,3.16,5.913,
CHEMBL3902813,O=C(Nc1c(OCc2ccc(Cl)cc2)cccc1C(=O)O)c1ccccc1,50000.0,-9.5,1.222,3.492,
CHEMBL3902813,O=C(Nc1c(OCc2ccc(Cl)cc2)cccc1C(=O)O)c1ccccc1,50000.0,-9.3,3.172,5.958,
CHEMBL4638107,COc1ccc2c(c1)[C@H]1[C@@H](CCN1CCN(C)C)CCn1c-2c(C2CCCCC2)c2ccc(C(=O)O)cc21,4.0,-11.7,0.0,0.0,
CHEMBL4638107,COc1ccc2c(c1)[C@H]1[C@@H](CCN1CCN(C)C)CCn1c-2c(C2CCCCC2)c2ccc(C(=O)O)cc21,4.0,-10.8,1.335,5.573,
CHEMBL4638107,COc1ccc2c(c1)[C@H]1[C@@H](CCN1CCN(C)C)CCn1c-2c(C2CCCCC2)c2ccc(C(=O)O)cc21,4.0,-10.5,2.284,4.08,
CHEMBL4638107,COc1ccc2c(c1)[C@H]1[C@@H](CCN1CCN(C)C)CCn1c-2c(C2CCCCC2)c2ccc(C(=O)O)cc21,4.0,-10.1,5.021,6.953,
CHEMBL4638107,COc1ccc2c(c1)[C@H]1[C@@H](CCN1CCN(C)C)CCn1c-2c(C2CCCCC2)c2ccc(C(=O)O)cc21,4.0,-9.6,2.131,5.974,
CHEMBL4638107,COc1ccc2c(c1)[C@H]1[C@@H](CCN1CCN(C)C)CCn1c-2c(C2CCCCC2)c2ccc(C(=O)O)cc21,4.0,-9.0,5.235,8.384,
CHEMBL4638630,COc1ccc2c(c1)C=C(c1c(C(=O)C3C4CCCC3COC4)cnn1-c1ccncc1C)Cn1c-2c(C2CCCCC2)c2ccc(C(=O)NS(=O)(=O)C(C)C)cc21,4.3,-8.3,0.0,0.0,
CHEMBL4638630,COc1ccc2c(c1)C=C(c1c(C(=O)C3C4CCCC3COC4)cnn1-c1ccncc1C)Cn1c-2c(C2CCCCC2)c2ccc(C(=O)NS(=O)(=O)C(C)C)cc21,4.3,-8.0,3.754,7.081,
CHEMBL4638630,COc1ccc2c(c1)C=C(c1c(C(=O)C3C4CCCC3COC4)cnn1-c1ccncc1C)Cn1c-2c(C2CCCCC2)c2ccc(C(=O)NS(=O)(=O)C(C)C)cc21,4.3,-6.7,2.801,5.98,
CHEMBL4638630,COc1ccc2c(c1)C=C(c1c(C(=O)C3C4CCCC3COC4)cnn1-c1ccncc1C)Cn1c-2c(C2CCCCC2)c2ccc(C(=O)NS(=O)(=O)C(C)C)cc21,4.3,-6.1,2.648,6.024,
CHEMBL4638630,COc1ccc2c(c1)C=C(c1c(C(=O)C3C4CCCC3COC4)cnn1-c1ccncc1C)Cn1c-2c(C2CCCCC2)c2ccc(C(=O)NS(=O)(=O)C(C)C)cc21,4.3,-5.6,3.764,7.124,
CHEMBL4646449,Cc1ccc2c(-c3ccc[nH]c3=O)c(C(=O)NS(=O)(=O)C3CC3)n(Cc3cc(F)ccc3F)c2c1,5.0,-7.1,0.0,0.0,
CHEMBL4646449,Cc1ccc2c(-c3ccc[nH]c3=O)c(C(=O)NS(=O)(=O)C3CC3)n(Cc3cc(F)ccc3F)c2c1,5.0,-5.6,1.684,2.592,
CHEMBL4646449,Cc1ccc2c(-c3ccc[nH]c3=O)c(C(=O)NS(=O)(=O)C3CC3)n(Cc3cc(F)ccc3F)c2c1,5.0,-5.4,3.393,7.07,
CHEMBL4646449,Cc1ccc2c(-c3ccc[nH]c3=O)c(C(=O)NS(=O)(=O)C3CC3)n(Cc3cc(F)ccc3F)c2c1,5.0,-5.2,3.517,7.005,
CHEMBL4646449,Cc1ccc2c(-c3ccc[nH]c3=O)c(C(=O)NS(=O)(=O)C3CC3)n(Cc3cc(F)ccc3F)c2c1,5.0,-5.2,3.223,7.303,
CHEMBL4646449,Cc1ccc2c(-c3ccc[nH]c3=O)c(C(=O)NS(=O)(=O)C3CC3)n(Cc3cc(F)ccc3F)c2c1,5.0,-5.1,3.088,6.474,
CHEMBL4646449,Cc1ccc2c(-c3ccc[nH]c3=O)c(C(=O)NS(=O)(=O)C3CC3)n(Cc3cc(F)ccc3F)c2c1,5.0,-4.8,2.524,5.892,
CHEMBL4646449,Cc1ccc2c(-c3ccc[nH]c3=O)c(C(=O)NS(=O)(=O)C3CC3)n(Cc3cc(F)ccc3F)c2c1,5.0,-4.5,3.992,7.517,
CHEMBL4646449,Cc1ccc2c(-c3ccc[nH]c3=O)c(C(=O)NS(=O)(=O)C3CC3)n(Cc3cc(F)ccc3F)c2c1,5.0,-4.3,3.276,7.161,
CHEMBL4635161,CN(C)CCN(C)[C@@H]1Cn2c(c(C3CCCCC3)c3ccc(C(=O)O)cc32)-c2ccccc2O1,6.0,-11.0,0.0,0.0,
CHEMBL4635161,CN(C)CCN(C)[C@@H]1Cn2c(c(C3CCCCC3)c3ccc(C(=O)O)cc32)-c2ccccc2O1,6.0,-10.3,2.109,4.05,
CHEMBL4635161,CN(C)CCN(C)[C@@H]1Cn2c(c(C3CCCCC3)c3ccc(C(=O)O)cc32)-c2ccccc2O1,6.0,-10.2,2.535,5.667,
CHEMBL4635161,CN(C)CCN(C)[C@@H]1Cn2c(c(C3CCCCC3)c3ccc(C(=O)O)cc32)-c2ccccc2O1,6.0,-10.1,2.966,7.156,
CHEMBL4635161,CN(C)CCN(C)[C@@H]1Cn2c(c(C3CCCCC3)c3ccc(C(=O)O)cc32)-c2ccccc2O1,6.0,-10.0,1.935,5.305,
CHEMBL4635161,CN(C)CCN(C)[C@@H]1Cn2c(c(C3CCCCC3)c3ccc(C(=O)O)cc32)-c2ccccc2O1,6.0,-9.9,3.928,6.965,
CHEMBL4635161,CN(C)CCN(C)[C@@H]1Cn2c(c(C3CCCCC3)c3ccc(C(=O)O)cc32)-c2ccccc2O1,6.0,-9.8,1.737,5.177,
CHEMBL4635161,CN(C)CCN(C)[C@@H]1Cn2c(c(C3CCCCC3)c3ccc(C(=O)O)cc32)-c2ccccc2O1,6.0,-9.7,2.106,4.432,
CHEMBL4635161,CN(C)CCN(C)[C@@H]1Cn2c(c(C3CCCCC3)c3ccc(C(=O)O)cc32)-c2ccccc2O1,6.0,-9.6,4.971,7.836,
CHEMBL4633142,CC1COc2cc3c(-c4ccc[nH]c4=O)c(C(=O)NS(C)(=O)=O)n(Cc4cc(F)ccc4F)c3cc21,6.0,-5.5,0.0,0.0,
CHEMBL4633142,CC1COc2cc3c(-c4ccc[nH]c4=O)c(C(=O)NS(C)(=O)=O)n(Cc4cc(F)ccc4F)c3cc21,6.0,-5.0,0.715,1.578,
CHEMBL4633142,CC1COc2cc3c(-c4ccc[nH]c4=O)c(C(=O)NS(C)(=O)=O)n(Cc4cc(F)ccc4F)c3cc21,6.0,-3.9,4.351,8.664,
CHEMBL4633142,CC1COc2cc3c(-c4ccc[nH]c4=O)c(C(=O)NS(C)(=O)=O)n(Cc4cc(F)ccc4F)c3cc21,6.0,-3.0,3.401,6.053,
CHEMBL4633142,CC1COc2cc3c(-c4ccc[nH]c4=O)c(C(=O)NS(C)(=O)=O)n(Cc4cc(F)ccc4F)c3cc21,6.0,-2.6,2.477,6.545,
CHEMBL245328,O=C(O)c1ccc2c(C3CCCCC3)c3n(c2c1)CCOc1cc(OCc2cc(N4CCCC4=O)ccc2N2CCOCC2)ccc1-3,7.2,-13.8,0.0,0.0,
CHEMBL245328,O=C(O)c1ccc2c(C3CCCCC3)c3n(c2c1)CCOc1cc(OCc2cc(N4CCCC4=O)ccc2N2CCOCC2)ccc1-3,7.2,-12.3,0.716,3.123,
CHEMBL245328,O=C(O)c1ccc2c(C3CCCCC3)c3n(c2c1)CCOc1cc(OCc2cc(N4CCCC4=O)ccc2N2CCOCC2)ccc1-3,7.2,-11.9,4.53,7.126,
CHEMBL245328,O=C(O)c1ccc2c(C3CCCCC3)c3n(c2c1)CCOc1cc(OCc2cc(N4CCCC4=O)ccc2N2CCOCC2)ccc1-3,7.2,-11.6,4.506,7.007,
CHEMBL245328,O=C(O)c1ccc2c(C3CCCCC3)c3n(c2c1)CCOc1cc(OCc2cc(N4CCCC4=O)ccc2N2CCOCC2)ccc1-3,7.2,-10.9,5.1,7.55,
