Molecule,Smiles,IC50,affinity(kcal/mol),rmsd l.b.,rmsd u.b.,rmsd_from_initial
CHEMBL180948,CC(C)C[C@@]1(C(=O)O)C[C@H](C(=O)O)[C@H](c2cccs2)N1C(=O)c1ccc(C(F)(F)F)cc1,190,-7.9,0.0,0.0,0.947195054
CHEMBL180948,CC(C)C[C@@]1(C(=O)O)C[C@H](C(=O)O)[C@H](c2cccs2)N1C(=O)c1ccc(C(F)(F)F)cc1,190,-7.8,1.664,2.096,1.141820752
CHEMBL180948,CC(C)C[C@@]1(C(=O)O)C[C@H](C(=O)O)[C@H](c2cccs2)N1C(=O)c1ccc(C(F)(F)F)cc1,190,-7.7,3.929,5.909,0.609151645
CHEMBL180948,CC(C)C[C@@]1(C(=O)O)C[C@H](C(=O)O)[C@H](c2cccs2)N1C(=O)c1ccc(C(F)(F)F)cc1,190,-7.5,2.204,3.02,1.167021844
CHEMBL180948,CC(C)C[C@@]1(C(=O)O)C[C@H](C(=O)O)[C@H](c2cccs2)N1C(=O)c1ccc(C(F)(F)F)cc1,190,-7.4,2.103,4.883,1.261299437
CHEMBL180948,CC(C)C[C@@]1(C(=O)O)C[C@H](C(=O)O)[C@H](c2cccs2)N1C(=O)c1ccc(C(F)(F)F)cc1,190,-7.0,3.545,5.843,1.495934987
CHEMBL180948,CC(C)C[C@@]1(C(=O)O)C[C@H](C(=O)O)[C@H](c2cccs2)N1C(=O)c1ccc(C(F)(F)F)cc1,190,-6.7,4.731,6.315,0.722951032
CHEMBL180948,CC(C)C[C@@]1(C(=O)O)C[C@H](C(=O)O)[C@H](c2cccs2)N1C(=O)c1ccc(C(F)(F)F)cc1,190,-6.7,3.911,6.409,1.396839065
CHEMBL180948,CC(C)C[C@@]1(C(=O)O)C[C@H](C(=O)O)[C@H](c2cccs2)N1C(=O)c1ccc(C(F)(F)F)cc1,190,-6.6,4.224,6.648,0.911207504
CHEMBL180948,CC(C)C[C@@]1(C(=O)O)C[C@H](C(=O)O)[C@H](c2cccs2)N1C(=O)c1ccc(C(F)(F)F)cc1,190,-8.0,0.0,0.0,0.966662035
CHEMBL180948,CC(C)C[C@@]1(C(=O)O)C[C@H](C(=O)O)[C@H](c2cccs2)N1C(=O)c1ccc(C(F)(F)F)cc1,190,-7.9,1.642,2.195,1.147484273
CHEMBL180948,CC(C)C[C@@]1(C(=O)O)C[C@H](C(=O)O)[C@H](c2cccs2)N1C(=O)c1ccc(C(F)(F)F)cc1,190,-7.7,3.94,5.934,0.612465979
CHEMBL180948,CC(C)C[C@@]1(C(=O)O)C[C@H](C(=O)O)[C@H](c2cccs2)N1C(=O)c1ccc(C(F)(F)F)cc1,190,-7.5,2.117,4.87,1.263403266
CHEMBL180948,CC(C)C[C@@]1(C(=O)O)C[C@H](C(=O)O)[C@H](c2cccs2)N1C(=O)c1ccc(C(F)(F)F)cc1,190,-7.2,3.616,5.842,1.129879487
CHEMBL180948,CC(C)C[C@@]1(C(=O)O)C[C@H](C(=O)O)[C@H](c2cccs2)N1C(=O)c1ccc(C(F)(F)F)cc1,190,-7.1,2.586,3.78,1.15141093
CHEMBL180948,CC(C)C[C@@]1(C(=O)O)C[C@H](C(=O)O)[C@H](c2cccs2)N1C(=O)c1ccc(C(F)(F)F)cc1,190,-7.0,4.604,6.313,0.536133792
CHEMBL180948,CC(C)C[C@@]1(C(=O)O)C[C@H](C(=O)O)[C@H](c2cccs2)N1C(=O)c1ccc(C(F)(F)F)cc1,190,-7.0,3.051,4.258,1.178460019
CHEMBL180948,CC(C)C[C@@]1(C(=O)O)C[C@H](C(=O)O)[C@H](c2cccs2)N1C(=O)c1ccc(C(F)(F)F)cc1,190,-6.9,3.838,6.397,1.29939042
CHEMBL180948,CC(C)C[C@@]1(C(=O)O)C[C@H](C(=O)O)[C@H](c2cccs2)N1C(=O)c1ccc(C(F)(F)F)cc1,190,-7.9,0.0,0.0,0.957457668
CHEMBL180948,CC(C)C[C@@]1(C(=O)O)C[C@H](C(=O)O)[C@H](c2cccs2)N1C(=O)c1ccc(C(F)(F)F)cc1,190,-7.8,1.645,2.09,1.151190769
CHEMBL180948,CC(C)C[C@@]1(C(=O)O)C[C@H](C(=O)O)[C@H](c2cccs2)N1C(=O)c1ccc(C(F)(F)F)cc1,190,-7.7,2.088,2.651,1.23276081
CHEMBL180948,CC(C)C[C@@]1(C(=O)O)C[C@H](C(=O)O)[C@H](c2cccs2)N1C(=O)c1ccc(C(F)(F)F)cc1,190,-7.6,3.924,5.909,0.61926699
CHEMBL180948,CC(C)C[C@@]1(C(=O)O)C[C@H](C(=O)O)[C@H](c2cccs2)N1C(=O)c1ccc(C(F)(F)F)cc1,190,-7.4,2.1,4.87,1.258945248
CHEMBL180948,CC(C)C[C@@]1(C(=O)O)C[C@H](C(=O)O)[C@H](c2cccs2)N1C(=O)c1ccc(C(F)(F)F)cc1,190,-7.2,3.653,5.818,1.152299694
CHEMBL180948,CC(C)C[C@@]1(C(=O)O)C[C@H](C(=O)O)[C@H](c2cccs2)N1C(=O)c1ccc(C(F)(F)F)cc1,190,-7.0,4.383,6.082,0.556728371
CHEMBL180948,CC(C)C[C@@]1(C(=O)O)C[C@H](C(=O)O)[C@H](c2cccs2)N1C(=O)c1ccc(C(F)(F)F)cc1,190,-6.8,4.13,6.195,1.450324699
CHEMBL180948,CC(C)C[C@@]1(C(=O)O)C[C@H](C(=O)O)[C@H](c2cccs2)N1C(=O)c1ccc(C(F)(F)F)cc1,190,-6.8,3.042,4.208,1.189950544
CHEMBL180948,CC(C)C[C@@]1(C(=O)O)C[C@H](C(=O)O)[C@H](c2cccs2)N1C(=O)c1ccc(C(F)(F)F)cc1,190,-8.0,0.0,0.0,0.958276095
CHEMBL180948,CC(C)C[C@@]1(C(=O)O)C[C@H](C(=O)O)[C@H](c2cccs2)N1C(=O)c1ccc(C(F)(F)F)cc1,190,-7.8,1.637,2.18,1.142179464
CHEMBL180948,CC(C)C[C@@]1(C(=O)O)C[C@H](C(=O)O)[C@H](c2cccs2)N1C(=O)c1ccc(C(F)(F)F)cc1,190,-7.7,2.08,2.639,1.233428979
CHEMBL180948,CC(C)C[C@@]1(C(=O)O)C[C@H](C(=O)O)[C@H](c2cccs2)N1C(=O)c1ccc(C(F)(F)F)cc1,190,-7.7,3.929,5.931,0.611561049
