Molecule	Smiles	IC50	affinity(kcal/mol)	rmsd l.b.	rmsd u.b.	rmsd_from_initial
CHEMBL180948	CC(C)C[C@@]1(C(=O)O)C[C@H](C(=O)O)[C@H](c2cccs2)N1C(=O)c1ccc(C(F)(F)F)cc1	190	-7.7	0	0	1.063598986
CHEMBL180948	CC(C)C[C@@]1(C(=O)O)C[C@H](C(=O)O)[C@H](c2cccs2)N1C(=O)c1ccc(C(F)(F)F)cc1	190	-7.1	2.097	4.693	1.282924805
CHEMBL180948	CC(C)C[C@@]1(C(=O)O)C[C@H](C(=O)O)[C@H](c2cccs2)N1C(=O)c1ccc(C(F)(F)F)cc1	190	-6.9	3.492	5.899	1.014493451
CHEMBL180948	CC(C)C[C@@]1(C(=O)O)C[C@H](C(=O)O)[C@H](c2cccs2)N1C(=O)c1ccc(C(F)(F)F)cc1	190	-6.7	3.902	5.917	0.636311419
CHEMBL180948	CC(C)C[C@@]1(C(=O)O)C[C@H](C(=O)O)[C@H](c2cccs2)N1C(=O)c1ccc(C(F)(F)F)cc1	190	-6.7	4.508	6.983	1.359279684
CHEMBL180948	CC(C)C[C@@]1(C(=O)O)C[C@H](C(=O)O)[C@H](c2cccs2)N1C(=O)c1ccc(C(F)(F)F)cc1	190	-6.4	2.792	5.357	1.397140006
CHEMBL180948	CC(C)C[C@@]1(C(=O)O)C[C@H](C(=O)O)[C@H](c2cccs2)N1C(=O)c1ccc(C(F)(F)F)cc1	190	-6.4	4.161	6.356	0.980521726
CHEMBL180948	CC(C)C[C@@]1(C(=O)O)C[C@H](C(=O)O)[C@H](c2cccs2)N1C(=O)c1ccc(C(F)(F)F)cc1	190	-6.3	2.144	4.914	1.449982524
CHEMBL180948	CC(C)C[C@@]1(C(=O)O)C[C@H](C(=O)O)[C@H](c2cccs2)N1C(=O)c1ccc(C(F)(F)F)cc1	190	-6.2	3.719	6.096	1.034869206
CHEMBL180948	CC(C)C[C@@]1(C(=O)O)C[C@H](C(=O)O)[C@H](c2cccs2)N1C(=O)c1ccc(C(F)(F)F)cc1	190	-7.7	0	0	1.070613948
CHEMBL180948	CC(C)C[C@@]1(C(=O)O)C[C@H](C(=O)O)[C@H](c2cccs2)N1C(=O)c1ccc(C(F)(F)F)cc1	190	-7.1	2.064	4.669	1.2745846
CHEMBL180948	CC(C)C[C@@]1(C(=O)O)C[C@H](C(=O)O)[C@H](c2cccs2)N1C(=O)c1ccc(C(F)(F)F)cc1	190	-6.9	3.461	5.912	0.983979251
