ligand SMILES ,input_id ,protonation_id,,,,,,
CCC[C@]1(c2c(c3c(c(cc(c3s2)C)F)C#N)CCO1)CC(=O)[O-],1,P10000004,346.403,4.278,4,4,0,-1
CCC[C@@]1(c2c(c3c(c(cc(c3s2)C)F)C#N)CCO1)CC(=O)[O-],2,P10000008,346.403,4.278,4,4,0,-1
CCC[C@@]1(c2c(c3c(ccc(c3s2)Cl)Cl)CCO1)CC(=O)[O-],3,P10000006,358.266,5.338,4,3,0,-1
CCC[C@]1(c2c(c3c(ccc(c3s2)C)C#N)CCO1)CC(=O)[O-],4,P10000011,328.413,4.186,4,4,0,-1
CCC[C@@]1(c2c(c3c(ccc(c3s2)C)Br)CCO1)CC(=O)[O-],5,P10000010,382.299,5.24,4,3,0,-1
CCC[C@@]1(c2c(c3c(ccc(c3s2)C)C#N)CCO1)CC(=O)[O-],6,P10000015,328.413,4.186,4,4,0,-1
CCCC[C@@]1(c2c(c3c(ccc(c3s2)Cl)Cl)CCO1)CC(=O)[O-],7,P10000013,372.293,5.844,5,3,0,-1
CCC[C@@]1(c2c(c3c(ccc(c3o2)Cl)Cl)CCO1)CC(=O)[O-],8,P10000019,342.198,4.697,4,4,0,-1
CC[C@@]1(c2c(c3c(ccc(c3s2)Cl)Cl)CCO1)CC(=O)[O-],9,P10000017,344.239,4.779,3,3,0,-1
CCC[C@@]1(c2c(c3c(ccc(c3s2)C)C#N)CCO1)CC(=O)[O-],10,P10000003,328.413,4.186,4,4,0,-1
CCCC[C@@]1(c2c(c3c(ccc(c3o2)Cl)Cl)CCO1)CC(=O)[O-],11,P10000002,356.225,5.202,5,4,0,-1
