Molecule ChEMBL ID	Smiles	Standard Value	
CHEMBL380997	CCC[C@]1(CC(=O)O)OCCc2c1sc1c(C)cc(F)c(C#N)c21	50	
CHEMBL200405	CCCC1(CC(=O)O)OCCc2c1sc1c(C)cc(F)c(C#N)c21	130	
CHEMBL198349	CCCC1(CC(=O)O)OCCc2c1sc1c(Cl)ccc(Cl)c21	140	
CHEMBL199954	CCC[C@]1(CC(=O)O)OCCc2c1sc1c(C)ccc(C#N)c21	170	
CHEMBL201313	CCCC1(CC(=O)O)OCCc2c1sc1c(C)ccc(Br)c21	190	
CHEMBL201475	CCCC1(CC(=O)O)OCCc2c1sc1c(C)ccc(C#N)c21	320	
CHEMBL201681	CCCCC1(CC(=O)O)OCCc2c1sc1c(Cl)ccc(Cl)c21	750	
CHEMBL200616	CCCC1(CC(=O)O)OCCc2c1oc1c(Cl)ccc(Cl)c21	1490	
CHEMBL382305	CCC1(CC(=O)O)OCCc2c1sc1c(Cl)ccc(Cl)c21	1900	
CHEMBL200696	CCC[C@@]1(CC(=O)O)OCCc2c1sc1c(C)ccc(C#N)c21	2850	
CHEMBL373183	CCCCC1(CC(=O)O)OCCc2c1oc1c(Cl)ccc(Cl)c21	4460	
CHEMBL3121193	CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N(Cc3ccc(B(O)O)c(F)c3)S(C)(=O)=O)c(C3CC3)cc12	130	Document chembl3872248(
CHEMBL3902813	O=C(Nc1c(OCc2ccc(Cl)cc2)cccc1C(=O)O)c1ccccc1	50000	Document chembl3872248(
