$'molecule1', 'molecule2', 'rmsd'
1_0,1_1,61.80126861101667
1_1,1_2,4.812820701360926
1_2,1_3,4.563057799629392
1_3,1_4,6.792688574413337
1_4,1_5,7.7381255237098365
1_5,1_6,6.781092201723544
1_6,1_7,3.551877570505784
1_7,1_8,2.2474673868985087
1_8,1_9,6.056566613018554
1_8,1_9,6.056566613018554
2_0,2_1,64.90692827900104
1_8,1_9,6.056566613018554
2_1,2_2,7.998768390773093
1_8,1_9,6.056566613018554
2_2,2_3,1.4354172939226797
1_8,1_9,6.056566613018554
2_3,2_4,6.616662803396148
1_8,1_9,6.056566613018554
2_4,2_5,2.016354803180157
1_8,1_9,6.056566613018554
2_6,2_7,3.551877570505784
1_8,1_9,6.056566613018554
2_7,2_8,2.2474673868985087
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_0,3_1,66.5770616128408
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_1,3_2,1.3259126319981673
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_2,3_3,2.287325462025632
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_3,3_4,1.7910123587599192
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_4,3_5,7.439240340663409
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_5,3_6,6.111457656918494
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_6,3_7,5.782246249711931
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_7,3_8,5.984608858756576
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_0,4_1,68.73419846016638
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_1,4_2,7.752113374379324
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_2,4_3,7.532520479177654
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
